text,actual_sentiment,predicted_sentiment,confidence,correct_prediction,prob_negative,prob_neutral,prob_positive,mixed_detected,middle_subtype
spacious clean starbucks located next to st joe s baristas were friendly but a little inefficient people in line and minutes to get my drink hate to see what would happen if the line really started to back up not sure how long this store has been around but it seems pretty new strange hours as it closed at on the day that i visited let s not stay open too late now we might pull in too many college kids in need of a study break,neutral,positive,0.5552110340461862,False,0.187920346596215,0.2568686193575987,0.5552110340461862,True,mixed_candidate
this starbucks in horsham is staffed by friendly baristas who aim to please and you do not get too much of the upsell dont you want something to eat today schtick the drive through window is convenient but it is a pain to get in and outof the parking lot due to the traffic nothing special but nothing wrong with this location,neutral,positive,0.600817212972055,False,0.1942164772969432,0.2049663097310016,0.600817212972055,True,mixed_candidate
since i came twice this week i ll write about both experiences earlier i ordered via drive thru the lines are usually long at this location today was lite in comparison even with a lite line their drive thru service can be a bit slow but that could be perspective since we expect things almost instantly in a drive thru line i ordered my iced doppio as usual and it was made perfectly with all of my little additions if you order banana nut loaf ask them to warm it up it will change your world today i ordered an iced doppio and it didn t turn out as expected so they actually have on the menu an iced doppio that comes grande and i think there are things added in it that i m not too fond of so if you want a double espresso just ask for a double espresso i ll have to remember that next time other than that my bacon gouda egg sandwich was great the only negative experience this trip was coming inside the store this time and with only people in front of me it still took while before i was able to order guess i ll have to use the app more to order from this store specifically,neutral,positive,0.413678308816341,False,0.3751419242732029,0.211179766910456,0.413678308816341,True,mixed_candidate
this is a pretty typical starbucks i don t go here very often but when i do the drinks are always made exactly how i expect them to be made the employees are always nice and chat a little bit at the window while waiting for the drink to be done or payment to go through the patio is decent no complaints on these things at all where there is a complaint however is that this location is very small and the parking lot is a terrible joke it s on a very busy section of broadway where many different commuters pass all day long it gets super busy it s not set up for super busy the drive thru line is usually jammed packed and flowing out onto broadway causing a major nightmare for busy traffic it actually is dangerous at times people will flat out stay in a traffic lane just to stay in that damned drive thru line there s very little parking so even if people weren t lazy as can be there s still a hassle there i wish they would redesign this location somehow to make the busy line flow better or at least to get it off of broadway for safety reasons,neutral,neutral,0.6546880608066088,True,0.0406236148265978,0.6546880608066088,0.3046883243667931,True,mixed_candidate
not bad not superb just starbucks i love that there s a drive thru but the location is off of the street so it s kind of hard to get here yesterday morning the lid of my frappuccino was not properly applied to the cup so it created a whole mess after i pulled off not cool baristas not cool but i ve been here several times before then and had no problem,neutral,positive,0.6020560471435674,False,0.2777808415253311,0.1201631113311013,0.6020560471435674,True,mixed_candidate
this starbucks has probably one of the rudest barista s ever slamming the oven throwing our food down i get that it s early but if you hate your job change it three stars because the coffee is good,neutral,negative,0.5585979348194324,False,0.5585979348194324,0.1761147154795622,0.2652873497010054,True,mixed_candidate
its an average starbucks location i think the best quality is the amount of outlets along the glass wall maybe i m spoiled but the staff at the location closer to my house is really friendly the peeps here not so much not that they are rude or anything just not friendly the wifi kicks me out about every minutes which is annoying they ve recently rearranged the seating area to allow for more space but it feels pretty cramped now they do have a large outdoor patio area which i think is awesome weather permitting,neutral,positive,0.820474313697216,False,0.0353797892351167,0.1441458970676671,0.820474313697216,True,mixed_candidate
i was starving and needed coffee desperately when i stopped by this location it was a cold day outside so needless to say all the indoor seating was taken the barista was very friendly and was quick about getting my coffee started my spinach wrap was a different story it seemed to take awhile and when they said it was ready it was a breakfast sandwich apparently another customer had taken my wrap the barista apologized and started another wrap for me they served it as soon as it was ready which meant it was super hot the taste was good though not my favorite starbucks location but not bad,neutral,positive,0.8028844822891062,False,0.1131370285793233,0.0839784891315704,0.8028844822891062,True,mixed_candidate
we will start with the good this particular starbucks is located just off of i and is open hours a day after that though it kind of heads downhill when we stopped in it was late afternoon and nobody else was in there for whatever reason it still took way too long to make a few simple drinks another reason for the low rating there is no place to really hang out here as there is with just about every starbucks no chairs or couches the place is purely built for you to go in and out and that is all overall just not the starbucks experience i am used to getting,neutral,negative,0.3822356127678061,False,0.3822356127678061,0.2878497157673786,0.3299146714648152,True,mixed_candidate
you take time to write a review if is really good or the opposite i like this location nothing really that can be criticized other then long lines every time but i like the crowd the outside patio is great but i only give stars because every time i go they misunderstand my order now i learned to read what they write on my cup misspelling my name is fun but me repeating a few time coconut milk please is embarrassing if i see they put my drink in dairy blender i know they got wrong and i ask again some are funny and chat with you make a nice comment but yesterday both girls the one that took order and one made my drink forced me write the review this morning she took a long time to make this mocha frap with coconut milk chat with her coworker that was carrying buckets of ice making jokes between the two got distracted with so many other moves around meantime started like few other drinks literally i saw my drink waiting at every step to get to the next it was in blender for like over minutes because she served a few other drinks she even took time to rinse the blender cup and top before she got a top for my drink to serve it my drink got to me very watery because it was melting already and not much flavor i don t think i had all ingredients in it but i had to run otherwise i would have told them to remake it did not risk it for another long wait what can i say i will go there again because the nice location and very convenient to enjoy a sunny morning,neutral,negative,0.4708320176857873,False,0.4708320176857873,0.309909695351188,0.2192582869630245,True,mixed_candidate
not my favorite usf area starbucks but convenient on my way to work parking is often an issue and many times when i visit the baristas are cleaning or vacuuming or conducting other loud tasks not an ideal location to sit and chat though the seating is plentiful and diverse a couple big comfy chairs a high top a long bar that regulars sit at to chat with the baristas my last visits have been okay one was for a frappuccino that took far too long to make between the baristas working and no one in front of me the guys after me got their drinks before me and they were quite chummy with them meanwhile i m standing there awkwardly waiting the girl doing the register was new and took awhile to ring me up but it was fine last night i wanted a passion tea lemonade and was told they were out of lemonade i was recommended to try a passion tea apple juice and reluctantly agreed then the computer froze up for a minute and i was given it on the house bonus i ll take some free starbucks though i admit i did want the stars on my card lol this one is much less crowded than fowler and not much further from usf i also wish this was drive through or there was some drive through on my way to usf but this one is pretty good fowler is my favorite for the friendliness and speed but this one is good too,neutral,positive,0.841956810187737,False,0.0458937392171121,0.1121494505951508,0.841956810187737,True,mixed_candidate
it s starbucks my default rating for fast food chains is stars and they didn t do anything special to rise above that they didn t do anything bad enough to lose a star either though i was seriously tempted to drop one for the lack of drive thru there is at least a parking lot though,neutral,negative,0.5086441034977603,False,0.5086441034977603,0.2848491014882611,0.2065067950139785,True,mixed_candidate
starbucks is not really something a challenge in terms of food you know what you re going to get customer service however is very important i ve been coming to the egg harbor greentree starbucks for years as a regular i can say that the staff here is extremely friendly and helpful one issue you may have depends on the time of the day at some points high school lets out and this place can be as loud as a school cafeteria other times several parents decided that this starbucks is a good place to bring their children being in washington township they have the my kid does no wrong attitude and often the parents will allow their infants to cry or their younger children to run around as if this were a daycare it does affect the experience of a nice place to relax with a tasty beverage the service gets a star rating the crowd sometimes kills it though,neutral,positive,0.6960002301113105,False,0.1780140059233358,0.1259857639653536,0.6960002301113105,True,mixed_candidate
who doesn t love starbucks at this location it s a hit or a miss they are always busy and you never know if the person at the window is gonna be nice or rude they do have the most up beat nice man working the window sometimes but there are these two ladies who are just rude like here is your coffee now leave and basically doesn t care if your order is correct or not but i still go anyway bc it s close to home,neutral,neutral,0.3422233107441766,True,0.3383321390988928,0.3422233107441766,0.3194445501569305,True,mixed_candidate
i like this starbucks as others have said it s true some of the barista s can be slightly slow moving i ve been here about x s only though so i may not be completely right about that i think i ve ordered frappacinnos only which i always thought were well made there s a parking lot that s a nice thing as street parking is metered off topic there s a ups zesto pizza in this retail fixture i ve been to the pizzeria only once but really liked it got slices nice portion sizes so much took third one home,neutral,positive,0.6444338455640468,False,0.1312158507481629,0.2243503036877903,0.6444338455640468,True,mixed_candidate
very friendly staff and apologetic seems that in the mornings they are always out of the sandwich i want the biggest issue i have though is the lack of speed i can place a mobile order and minutes later walk in and it s still not ready only once in the last month has it actually been waiting for me i m not sure why it s so slow all the time there always seems to be plenty of staff working regardless the staff is super friendly i just wish things could be faster,neutral,positive,0.7065007506650612,False,0.1104967876159587,0.18300246171898,0.7065007506650612,True,mixed_candidate
this starbucks does not rock my world in any way but i have to stop here when i am in tampa because i am always driving by it on my way back to orlando and convenience matters more than quality service is generally fine good but unremarkable the speed of service however costs the location its stars i find that the wait time here is often far too long even when there is not a huge line still where there are no other real options and time is of the essence you will find that you get what you need and sometimes that is enough,neutral,negative,0.3994582415790915,False,0.3994582415790915,0.2722558554817809,0.3282859029391275,True,mixed_candidate
my past visits here have been awful i usually get iced coffee or cold brew they are usually out of cold brew but the one time they had it they didn t cut it so i got a venti cup of cold brew concentrate maybe that s why they are always out luckily i was on my way home so i was able to cut it in half at home the iced coffee always tastes burned the good thing is the baristas are friendly the food has tasted good i m going to be visiting panera for my coffee fix from now on,neutral,negative,0.5669867682493233,False,0.5669867682493233,0.1935592421403531,0.2394539896103235,True,mixed_candidate
back to being a starbucks gal i was going to dunkin off missouri the evening service is terrible the moral energy here is consistent my only thing is the amount of espresso they give in a single shot is extremely minute not even a full shot but i d rather come here where the service is great,neutral,positive,0.4878668855488192,False,0.4494503299641408,0.0626827844870399,0.4878668855488192,True,mixed_candidate
the remodel is awful sterile and not friendly or inviting for hanging out most likely this is by design by someone to drive more traffic through and discourage long stays coffee is still good but the food is pre packaged and meh at best so for over all id rate sb my fav for coffee but they ruined a good thing with the remodel,neutral,positive,0.5946696266014695,False,0.1161062116872903,0.2892241617112402,0.5946696266014695,True,mixed_candidate
i am a regular at this starbucks and found all the staff to be very nice and friendly except i had an awful experience with an employee today she was rude and kept interrupting me when i was trying to order and lied to me about not having any blueberry muffins despite there being on display and didn t even bother to check i even called in to check if they had muffins two minutes after i ordered and they did have blueberry muffins i will not be returning to this starbucks again thanks isabel you just lost a customer,neutral,negative,0.7102630685893804,False,0.7102630685893804,0.0643412569090416,0.2253956745015781,True,mixed_candidate
ehh this starbucks is ok i came here mid afternoon on a saturday and the place was packed waited in line for at least minutes to order and then another for my drink luckily my drink was prepared well and correctly the service was average nothing to complain about but nothing spectacular the barista making the drinks was disheveled in appearance and had liquid all over the front of his apron granted i get that spills happen but his apron was gross he should have changed to another one if he was going to continue making drinks overall average experience this place seems to have pretty good reviews so perhaps i caught it at a bad time,neutral,neutral,0.457300998655273,True,0.4072512765752824,0.457300998655273,0.1354477247694444,True,mixed_candidate
i wanted to start by saying the hours here on yelp are not correct i m not certain what the hours are but i came through passed by multiple times between am on my way into work and it wasn t open i was able to get breakfast here one morning but that was after am the line moved very quickly but their menu is severely limited i had to settle on my rd breakfast option because they were out of the other i got the feta wrap but it was still frozen cold in the middle which sucked the good thing is my iced chai latte was very good but took awhile to get made would be open to return next time i m in town,neutral,positive,0.4172280292276295,False,0.3310015255638621,0.2517704452085084,0.4172280292276295,True,mixed_candidate
the staff is usually quite friendly and they make their drinks well however it is always without fail super dirty every time i come in here the tables have trash and crumbs or spilled drinks on them leaving them sticky today two baristas let drink orders pile up while they were chatting with a friend about his boy troubles pretty unprofessional,neutral,negative,0.6694340786354234,False,0.6694340786354234,0.1362635478584698,0.1943023735061066,True,mixed_candidate
stars mostly only for shock value let me preface this by saying that i am not a fan of starbucks i think their coffee is over caffeinated and often burnt their espresso drinks lame at best and everything over priced in fact when i am trying to decide on a cafe to go to starbucks doesn t even make it to the list of options however i must admit that starbucks is extremely convenient they are everywhere and they are open late so when i needed to find a place to study late tonight i decided to go to the green hills starbucks for the first time in maybe years so i walked in tonight with my friend and i couldn t stop my jaw from dropping over and over again and the exclamation wow from coming out of my mouth why because the place has gotten an extreme makeover it s probably to do with the whole new starbucks branding marketing goals but anyway all of the furniture has been replaced with wooden counterparts and comfy couches it has an entirely different feel less commercial and more local and authentic the gigantic study table with electrical outlets has been replaced by benches on the wall bar stools and any other kind of seating you can imagine and the outlets are now impossible to find because they have been painted the same exact brown as the wall which led me to create an extremely awkward situation as i walked around the entire border of the room looking for a plug for my dying laptop despite an inspiring renovation of the entire atmosphere of the place obviously the quality of the drinks has not improved astonished by the new look i inquired the barista about when they redid the place to which she replied last year in february embarrassed i chuckled took my drink and slowly walked away clearly i am behind the times anyway great new feel and atmosphere this one is much more social for starbucks even though the drinks haven t changed so if you must resort to going to starbucks this is the one i would recommend,neutral,positive,0.4312184029037679,False,0.3661032882594103,0.2026783088368217,0.4312184029037679,True,mixed_candidate
you ll find this location attached to the hilton bayfront hotel they have an entrance off the street and one inside the hotel also they have shorter hours due to the location as well so be sure they are open before coming this way they do not have a drive thru they have the standard food mugs snacks and beverages of all the locations staff was friendly and the store was clean they do not have a scanner for the phone app so the cashier had to manual input the number and i felt bad for him having to do that they has my drink finished before i was done at the register they also had the florida ornament mug which i picked up here as well no bathroom inside odd location off site parking and no drive thru being this place down a bit overall a great service short hours plenty of seating,neutral,positive,0.7933696463342129,False,0.0320032530565106,0.1746271006092764,0.7933696463342129,True,mixed_candidate
the products are always on point but since this is the only starbucks within miles the lines are always long never any available tables you will definitely want to pre order your stuff if you need it fast we need more locations corporate giddy up,neutral,positive,0.3926534953034293,False,0.366597234049935,0.2407492706466356,0.3926534953034293,True,mixed_candidate
i come to starbucks waaaayyyyy more than i should i know this location very well the drive thru is always courteous and prompt but sometimes i like to go in the restroom is always disgusting i know these coffees are costly and i know starbucks can afford a cleaning service to clean their facilities their baristas clearly do not think they get paid enough to keep a clean work environment not only was the restroom disgusting but so was the lobby the floors had massive amounts of trash along with what looked like weeks of yuck built up on the floor i d love to offer my company as some relief please contact stellar cleaning services llc if you need a professional to clean this place up now let me start on the baristas there were some awesome workers about months ago but now they are all young and worried about hanging out and how much fun it would be if they could get another of their friends to work here with them omg please split these people up they do not get the job done well when they are busy talking about the weekend coming instead of listening to the order being placed through drive thru they definitely need a class on how to do your job and do less socializing bottom line starbucks costs too much money to not be taken care of in a top notch manner,neutral,negative,0.5386064328606935,False,0.5386064328606935,0.0506646455640292,0.4107289215752773,True,mixed_candidate
as a location this starbucks is difficult to say the least the line for the drive thru is frequently wrapped all the way around the store and maybe two or three cars waiting in line on th street as well this is particularly the case in the morning when their can easily be cars waiting the drive through line also makes it very difficult to park in the lot so you can t app order and pick up easily as well there is overflow parking behind the gas station next to it inside this is an amazingly comfortable coffee shop it is clean wide open and very accessible despite the volume of customers they never seem to run out of what i m looking for customer service has always been great here for me as well starbucks coffee will certainly scratch the itch but it s nothing to write home about it s good but it doesn t blow you away,neutral,negative,0.4010498167303022,False,0.4010498167303022,0.2260598311368364,0.3728903521328613,True,mixed_candidate
i love starbucks but this location has the most inconsistent output in terms of taste i don t know if it s just because they are always so busy or what but i have standard drinks i rotate and they never taste the same nor do they taste quite right they do have very friendly staff but be warned the lines are often long and service slow,neutral,positive,0.4210596077784096,False,0.2913419255342299,0.2875984666873605,0.4210596077784096,True,mixed_candidate
well i m certainly surprised today usually there is this one barista that is super irritated and has the i don t give a crap attitude and for some reason always doesn t make my beverage right and is usually rude today though today mmph my latt was def good and he seemed less rude almost like he was actually trying to be nice however he still had the unhappy face he usually wears i always hated coming here bc the the guy barista could be really rude at times and it s like i always leave feeling super pissed off but because it s convenient i would come here when i m in the area i hope things continue to get better from here,neutral,negative,0.6418144020312404,False,0.6418144020312404,0.2276896948937929,0.1304959030749666,True,mixed_candidate
idk any joy i get from visiting this starbucks diminishes at the annoying light that takes forever wish i could chose a different way out but not so the store is nice and quick an friendly everything i enjoy about the brand its just i don t want to visit because of the hassle to get out of there what this intersection needs is a pretty round about that way everyone keeps moving and doesn t have to wait forever at that damn light maybe i ll go again and try to get out another way ughhh im getting old,neutral,negative,0.4541971856696654,False,0.4541971856696654,0.2001726840726912,0.3456301302576433,True,mixed_candidate
this starbucks is a hit or miss sometimes i get the most amazing beverage and sometimes it s way off mark today i asked for an iced caramel macchiato stirred and it tasted like milk with caramel flavor and came unstirred smh i would have asked for them to make me up a new one but i was worried that it would be extremely heavy on the espresso so i just stuck with it plus i was to lazy to ask so my bad i guess but if you pay for designer coffee shouldn t it be perfect,neutral,negative,0.465589434948022,False,0.465589434948022,0.3377401111243091,0.1966704539276689,True,mixed_candidate
place is always really busy but everyone there is really nice one guy i think his name is grant is super super fun to talk to store manager is super sweet overall everyone is really nice just slow,neutral,positive,0.7680948616167913,False,0.0923155647961249,0.1395895735870836,0.7680948616167913,True,mixed_candidate
so this is the starbucks in tampa s f terminal which happens to be a starbucks reserve they have the reserve clover brewed coffee ultimately it was a little disappointing because i mistakenly thought all reserve locations also had the nitro cold brew i didn t snap a picture but it seems like they ve also significantly downsized from their renovation a year ago there wasn t any starbucks specific seating and i felt squished waiting in line for my drink other than that it was on par with any other location,neutral,negative,0.4333226714252781,False,0.4333226714252781,0.2456163693629255,0.3210609592117964,True,mixed_candidate
i ordered a traveler for a meeting a traveler is a cardboard box full of delicious whatever you want i get the blonde roast cause that s what those brainy people like i ve worked here at the tgh for years and love that there is a place like this here it s a safe haven for employees and patient family alike stepping into another world for a break from life i called at night to order my traveler it wasn t ordered in the morning so i was late to my meeting made me look bad but i still love this place,neutral,positive,0.7458895524024375,False,0.1494038900066484,0.104706557590914,0.7458895524024375,True,mixed_candidate
the baristas here are outstanding they re friendly and make grabbing coffee here very pleasant and yet the parking is so atrociously awful i often drive to this location see that there is no parking and then head somewhere else for coffee there is no place to wait for a spot and i ve even been double parked into a spot before it s just a disaster,neutral,positive,0.70388923092894,False,0.1278892054086666,0.1682215636623933,0.70388923092894,True,mixed_candidate
if i were rating this solely based on the amazing individuals that work at this location then believe me you d see the biggest stars possible these employees get hounded daily by huge lines of obnoxious students i ve seen them be berated i ve seen them when they re flustered and i ve seen the way a lot of jerks treat them i absolutely love every employee here and hope that everyone else appreciates them since this location is at the ua and on campus right by the library it gets slammed throughout the day there are times where there are lines that go people out the door and the employees here continue to bust butt to get drink orders out unfortunately the ua has set them up for failure by also having an advanced ordering app not the regular starbucks app they don t do that at this location where while there are people in line there are then college students in classes also ordering drinks so at certain times of the day the in person customers are getting angry because tap and go customers are getting drinks before the in person orders but imagine how hard it is for these few employees to keep up with the people in line and the mobile orders happening at the same time really ua has set them up for failure because people get cranky and take it out on these poor baristas who are doing amazing work unfortunately i have to deduct a star for the long long wait times and for the fact that i think its a horrible business practice to have all of these different ordering systems slamming people but again still stars for the employees they don t let you redeem your stars for a free beverage here that s frustrating you can however still get happy hour deals and other perks here i mainly earn my stars here and then cash them out at regular locations what i really hate about this location is how they nickle and dime you i switch out the milk for soy or coconut in all of my beverages the upcharge for this is fine as i appreciate them offering soy and i realize that costs them a bit more to make i have zero issues with this but what irks me is i used to order drinks with no ice and i d have no issues the ice makes things too cold for me to drink but sometimes i want something that isn t hot either no ice is a great way to get something closer to room temp again i ve ordered like this several times with no issues and i ve never had an issue at any other location ever but suddenly i m told there is a cent upcharge here for no ice they re actually trying to charge you to take ice out of your drink i ve just saved you some water some ice the power it took to make the ice etc and the coffee i m purchasing is around and i usually purchase here x a week x a day that s drinks a week a loyal customer and you really really want to charge someone to take ice out of a drink this new rule comes and goes sometimes they have it other times they don t but basically they need to get over all of their extra charges that don t exist anywhere else seriously this doesn t exist at any other regular or franchise location i ve ever been to at some point you need to realize you re making plenty of money and you don t need to charge to remove ice after all i don t get a discount if i take whipped cream off of my drink employees stars long waits and weird mysterious extra charges stars greed of this location no stars,neutral,negative,0.6760268318499162,False,0.6760268318499162,0.2230893028522819,0.1008838652978018,True,mixed_candidate
i had started this review differently and was planning to go on a rant about slow service and how i ve been to other starbucks and blah blah blah this starbucks is big it s clean and the employees are nice they have a drive through which seems silly to me but i know people that like to use it all i know is that when i stop in there it seems like the employees move at glacial pace if you re stopping here plan to slow down a little or a lot depending on how fast you normally go other than that it s pretty nice and well it s close to my office,neutral,neutral,0.3723098968660779,True,0.2858617488928144,0.3723098968660779,0.3418283542411075,True,mixed_candidate
this been a regular stop on the way to work for me going on years now up front the three stars are for the staff however a couple drag the rest down one with a regularly flippant attitude another common occurrence is at the point of sale when hot food items are ordered the patron s name is not asked and when the order comes a weak callout is made with only the name of the food and consequently not heard in restaurant over the often loud music and sometimes the sound level of the staff having a good time at work i love seeing happy employees so perhaps this is a fair trade off however a half warm breakfast sandwich tastes like hell often they do not have in stock breakfast items like the heated sandwiches who does the ordering and for that matter is there a manager even present seeing to these and the following glaring indiscretions as for the condition of the restaurant i d have to say it s a bit dirty and unattended the window exteriors appear to not have been cleaned since the remodel the window interiors are not far behind the tables don t get wiped on a regular basis through the morning as well as the floor swept and debris remaining throughout the morning it doesn t appear that it s mopped nightly either the supply station is often out of items as i have observed often on my numerous visits at am the condition of the floors as described herein unswept and still showing the signs of the previous business day i did ask about this once and was told oh we got hammered this morning again am and i look around seeing that i was one of three people in the place and but two cars in line outside the staff kids partying it up really as said there is good people working there that take a personal pride in the job they do but all that goes out the door given the aforementioned issues a manager that isn t busy behind the counter preparing orders to oversee that the place is taken care of would be a start a good hard cleaning of the entire restaurant inside and out including the filthy paved areas outside including the furniture is more than overdue i suggest steam cleaning and sterilization can anyone say reset,neutral,negative,0.6768135456934113,False,0.6768135456934113,0.1560787884240929,0.1671076658824956,True,mixed_candidate
love starbucks love their coffee but crystal was extremely rude at the cash register today i hope i never come here again if she s working definitely needs to be trained on customer service,neutral,negative,0.817219550755314,False,0.817219550755314,0.0397750612965605,0.1430053879481252,True,mixed_candidate
minus star for not giving me a paper protector for my cup seriously you hand me a cup in the drive thru over my head with no thingy not sure if it s an idaho thing to save the environment but really drive thru wasn t bad staff was friendly drink was as expected and it is around the corner from the gym i go to in the morning i ll be here more often,neutral,positive,0.457391216250579,False,0.2945946105053683,0.2480141732440527,0.457391216250579,True,mixed_candidate
it was decent that s about all they seemed to not know how to make an oatmeal or open a new carton of coconut milk my dying son found nothing on the menu appetizing and soon after leaving had to throw up was it the service that made him nauseous the food the terminal disease that s eating away at his organs no one can be sure one thing i can be sure of though is that i ll be visiting this starbucks again because the other option is mcdonald s coffee and that s doodoo pure doo doo,neutral,positive,0.4780626824226803,False,0.3979694353104781,0.1239678822668416,0.4780626824226803,True,mixed_candidate
a decent spot to grab a cup of coffee or some food before going through the day this starbucks is part of the university of the sciences and will host a plethora of students it will get crowded and loud during the rush but slow down as people go to class staff are usually friendly depending on the day and service is quick for students this starbucks is similar to regular ones with the perks of being full of your classmates you can use your declining balance or devils dollars here a great spot to get quick tasty breakfast literally the best option for food in general on this campus that doesn t cost you real money for non students this location is nothing compared to a non university affiliated starbucks but you can always get the same options you can at other locations they will take cash and card and treat you no different there are usually many students here who will either be studying or eating so seating can be tricky deffinitely a go to when you visit the school phone wi fi does not work here for some reason there just doesn t seem to be service and nothing ever connects laptops do work here however this is a pretty nice locstion and typical location for a university better food here than most places and a nice atmosphere,neutral,neutral,0.6641934717755061,True,0.0211540986053674,0.6641934717755061,0.3146524296191264,True,mixed_candidate
if this were your first experience of the starbucks franchise you would walk away neither overly impressed nor depressed for those of us who ve easily been in dozens of them the feeling is about the same in our particular case this week it was a necessary evil we were trying to locate yet another tourist attraction this sounds like complaining but trust me we were having a fabulous time and the iphone and its handy gps were nearly dead so we ducked into starbucks for a drink and a good long battery charge i d never had a starbucks smoothie before and i ll never have one again it was just not like a real smoothie no fruit chunks no bold fruit flavors nothin interesting and a strong preservative taste to seal the deal but chances are i d have said the same thing if i d gone to any other starbucks nationwide so don t take that the wrong way the girls behind the counter were loud and goofy but at least they were having fun at work plenty of parking out front,neutral,negative,0.4940597544828883,False,0.4940597544828883,0.117855804212751,0.3880844413043605,True,mixed_candidate
