text,actual_intensity_score,predicted_intensity_score,predicted_intensity_label
"nice location in an affluent shopping center that is always crowded on weekends. clean and comfortable, medium sized with seating and a retail area. (not a teeny one and not huge).",0.6122799999999999,0.337547795857023,Positive
great place to work! t he barista are always nice and provide excellent service. makes you feel at home. love this place!!,0.9796400000000001,1.0,Strong Positive
coffe is good but the black-haired girl behind the counter is a total troll. seems friendly enough with her co-workers but rude to the customers. 01/01/2015 @ 1745,0.1564,-0.11054653199938126,Neutral
"for as busy as these folks are they have great poise & attitude while they grind and serve away to tourists, locals, employees and outside panhandlers sure its sbux and the rep that comes with it but philz, sightglass or blue bottle is over 200 miles away. if hub was closer for me there'd be one less review. the weekends are a mess so come earlier or later the inside of this smaller franchised space is gorgeous with a tip of the cap to the construction mgmt team. i like the pictures of their humble beginnings storefront on pike place meets virginia street and the ceiling resembles the fox theater in oakland a bit daily drip seems to have blonde, dragon and pike in the rotation as one is also able to get their la boulange fix",0.64632,0.5465251476370254,Positive
good central west county location. would like them to remain open past 8:30pm. 'outdoor seating' means 2 benches out front.,0.86388,0.33462754996274957,Positive
"i have to say i was ignored never looked at or even made eye contact with. made an order, and listened to a man barista talk about his makeup and outfit for the weekend to his coworker on their little headsets while he completely messed up my order of iced coffee...enough said, wasn't a difficult order if you get my drift. i don't mind that he ignored me but i do mind thats the reason he messed up my order.",-0.57596,-0.2363146508011473,Negative
"usually starbucks is pretty good, but this one was awful. they messed up my order twice, and i never get anything complicated just a white mocha. i'm very disappointed",-0.94552,-0.39069106902567496,Negative
this place is just horrible i can't think of a reason why it's so big coffee is disgusting horrible service never again,-0.9544,-1.0,Strong Negative
"just as a previous poster mentioned, the wait time is long. we waited in the drive through for approximately 14 minutes to get two coffees. when we got our drinks, both were done incorrectly and one drink had more mocha on the outside of the than the inside. you could see fingerprints on the cup from the mocha mess. i'm really blown away that we were given this cup with the mess all over it. we had to ask for napkins and then another cup to put over top so we wouldn't get the mess everywhere. ultimately, we threw it away because it tasted terrible. i think the staff may be new or maybe they're not thoroughly trained. in any event, horrible experience. i don't recommend this starbucks.",-0.64756,-0.5590920678017013,Negative
"the atomosphere is nice and the music is good for studying. it can get loud sometimes when a large group of people come in to study. however, the internet is terribly terribly slow.",-0.14448000000000003,0.3256611918747879,Positive
"7 am saturday, relatively quiet, i ordered. triple shot grande cappuccino so it would taste like coffee. it tasted like 100% milk. i asked for a new one. she said sure and made me wait for 7 other people and when i spoke up she said, oh someone else must have taken it. i was standing there the whole time, so no, that's not it. this starbucks is totally hit or miss on quality. i have had too many misses. i will not return.",-0.38088,-0.43985662377541934,Negative
"i came for a strawberry acai with coconut milk ( the pink drink) in the morning and it was extremely busy. but when i got my drink, i realized i was charged wrong and my ticket didn't include the coconut milk, so they had to remake it. it wasn't a huge problem for me, but i'm glad the staff was still nice and didn't get an attitude about it.",0.46812,-0.21531858660147946,Negative
register lady said they don't do french presses any more. at least the pour over was hot. everyone knows the french press is tastier!,0.0,-0.16890809410418844,Neutral
"the new barista, a young african american woman, was very pleasant, great smile and very personable. however, this place always looks like it could use a good cleaning. before we could sit at the large bar height table i had to ask for a wet towel to clean off the spilled coffees and food crumbs. i don't mind this but i have a problem with it when the baristas are standing around talking so very loudly that their voices are overpowering all the other customers in the store. they could be attending cleaning opportunities.",0.04028000000000004,0.522739234651275,Positive
very large plenty of study space friendly attentive staff very very very cold staff said they have no control over the heat. everyone had their winter coats on. i had to leave it was so cold.,0.08092,0.14960542316907924,Neutral
"i've been to probably over 100 different starbucks. this particular starbucks is the most friendly and consistent i've been to. the other day they gave me my order for free for a christmas present. that's great customer service. it's located in the hyatt so it's quite busy during conventions, but the speed of service is great. they always have enough staff, and they are all friendly.",0.98036,1.0,Strong Positive
"coffee coffee coffee... we need coffee. so i might be a little hyper for this review as i just had a coffee with three shots of espresso in it but i am i high energy person with a high energy job and a type a+ personality so coffee is like mothers milk and this place has that milk for me. (insert breath) so i came here and while i am usually on the go and running to work my 12+ hour days with a coffee float on my energy drinks, this place helped me s-l-o-w down. ok. this is cool like most starbucks but this one is a bit more comfortable than most. it has a big outdoor seating area. it is in a quiet and upscale community. there are also a bunch of nice shops around it which adds some nice ambiance. it is just a nice place to chill and relax unless you like espresso like me and then it is a great place to recharge.",0.6976800000000001,0.9757446211149255,Strong Positive
"i'm giving this starbucks a two star only because the set up and slower staff make the line consistently long. they make decent starbucks drinks, but if there's a line, it will take you a bit longer to get your drink. if you're rushing to get on a flight, do not go here unless there's no line.",-0.40928,-0.0293975814733311,Neutral
"what a horribly misplaced edition to the neighborhood. i even hate looking at it when i'm driving by. this is not a great new addition to the neighborhood. it's commercial greed at it's finest and takes away from local businesses who are intricately involved in the immediate community. their coffee tastes like burnt toast, their food comes from a box and is microwaved. what a disgrace.",-0.9719599999999999,-0.1409050950786842,Neutral
i liked to stop by this starbucks when i was doing some shopping. some of my favorite starbucks concoctions: - nonfat extra foamy misto with sugar free vanilla - americano with caramel drizzle (the caramel sauce that usually goes on frappuccinos... so rich and gooey!) - coffee light frappuccino - green tea frappuccino a good place to meet up with friends too... yum! i would definitely hit up the local coffee shops as well but have nothing against the ever-reliable starbucks!,0.6642399999999999,0.9704578523725963,Strong Positive
in line right now for drive thru. it's going to clear 30 minutes fir a coffee. going to be late to work. crazy.....,-0.57936,-0.37076040162293555,Negative
"while the customer service is up to starbucks standards the drinks are not! in the handful of times i have gone to this location i have never once received the correct beverage. i gave them the benefit of the doubt before but after the last visit, where the barista asked me how many flavor shots were in a venti iced coffee, i will be avoiding this location at all costs.",-0.7936,-0.39129077776925514,Negative
"this location is dirty, the staff is consistently rude, and they put zero effort into preparing your order. i've tried this location several times, but i've given up hope. many more attractive options in the area.",-0.30628,-0.66147446565235,Strong Negative
"disrespectful employees. yelled and threaten to call the cops on my fiancee because all she was asking if the drink that the barista has made was hers. she asked 3 times and everyone of the employees ignored her. the barista gave her an attitude once he gave her his attention. my fiancee tried to speak with a manager but none of the employees wanted to cooperate to direct her to one. one of the employees claimed that he was the ""manager"" and refused to give her the district manager information. a scene has already started in front of the many customers that have been or was being served. he ended up giving her the ""manager"" number which my fiancee called and when she asked who she was speaking to, they hung up on her. the managers number ended up being the store phone number. nothing was resolved. never go here unless you're looking to fight with the disrespectful employees.",-0.8437600000000001,-0.5931812822702466,Negative
"i come here regularly before work. i enjoy the setting, even when it gets busy. but, the staff is inconsistent. there's one girl that works on saturday mornings at 5, and every time, she makes me feel like i should leave. (really short hair...) doesn't say ""good morning"" or ""hi"" back... won't even look at me. i tried to engage in conversation once with her, ""how are you?"" and she scolded me for expecting her to put the honey in my coffee. no one ever told me, until that morning, that it was wrong and against health code. i certainly don't mind putting it in myself, but the honey packets aren't out for customers. she went off about how wrong it was to put the barista in that position... i just smiled and said that i would be happy to do it. however, all other baristas put the honey in. in fact, when i asked to put it in myself because of what she said, they laughed and said she's wrong. i would give this place 5 stars, except for the way she affects the environment.",0.30844000000000005,-0.3987468847082527,Negative
"i've been to this starbucks a few times...i'm definitely a starbucks aficionado, lol! david, the barista from latimer is here! there's another barista from walnut st., a friendly bunch! they have ample seating here too which is great, plenty of tables and chairs. i would give 5 stars but i think it's kinda lame that they want to hold onto your id or keys while you borrow the bathroom key, i just think that's kinda dumb. i don't understand why they can't just have a keypad on the door and give you the code like other starbucks do. i don't like having to leave my personal property with a barista. if it weren't for that issue and the line getting backed up, i would have given 5 stars. i will keep coming here occasionally but it's not the closest one to me, so i'll visit the bellevue and latimer more often since they're closer. still, good starbucks!",0.58848,0.6485047171708966,Strong Positive
"i went in to get coffee, i was yelled at for not wearing a mask. apparently there is a mandate which is not a law. even someone vaccinated i found out, manager grabs a mask violently from a worker and places it in my face. my hands are shaking at this point, for someone struggling with a medical condition, just because you cannot see it and assume i'm just being difficult. she kept saying you can either do it the easy way or not get served. i don't feel good about this, my hands are still shaking and am having trouble breathing now with how she screamed at me.",-0.97304,-0.2722474676487547,Negative
"cashier seems nice enough, but the young black girl who fixes the drink has an attitude, and made a mess of my drink right in front of me. considering the location, i would think they would have a much friendlier staff.",-0.14323999999999998,-0.03563607531929437,Neutral
"this is a typical starbucks. nothing special. can't figure out why all the neg reviews but my main gripe is the parking situation. this location is fantastic! on the way to work for a lot of people off a main thoroughfare. and it's great that they put a drive-thru in to make it easier but there are definitely some logistical issues that weren't addressed in planning. the drive-thru isn't long enough to accommodate all the traffic so cars end up backed up onto that main thoroughfare and it can cause a lot of honking and not so happy people. the line moves pretty quickly for the most part but it doesn't take long for it all to turn sour. if even two to three cars end up in the street, it's a commuting nightmare. on the other hand, the parking lot is so small and hard to get in/out of that people inevitably end up parking at one of the nearby local businesses and, i'm sure, making those owners angry. the servers here are fast and friendly. i don't drink coffee so i couldn't tell you about that but they brew a pretty good earl grey.",0.39460000000000006,0.737015283982668,Strong Positive
so rude. not a friendly bunch to start your day with. additionally weird music playing. i would recommend a neighborhood coffee shop.,-0.5056,-0.21833190599907806,Negative
"the incredibly friendly and attentive staff here bring the rating up to three. if it were not for them, i'd give it a one, because this is not a particularly enjoyable starbucks location. st pete, doing its best to be a 'big city', has a decent number of homeless folks in the vicinity of this starbucks, and they are constantly coming in, spreading their belongings out, coughing without covering, etc. pinellas already has a hep a issue, so i'm sorry, but i don't really like homeless people in my chosen eating establishments. the bathroom has a pointless combo lock on it, and i say pointless because as we all know starbucks policy is to no longer ask if someone is a paying customer, so they just give the code out to anyone who asks anyway. that of course has lead to a disgusting bathroom i won't use. next up, the non-homeless expensive condo population of st pete, who are also in close vicinity. that brings in a combo of either yoga pants and 'service animal' dog as an dress accessory, or male with airpods talking about their next awe-inspiring business deal way too loudly. finally, the place is kept ice cold and music loud, probably to encourage people to not stay too long.",-0.18672,-0.36440798049684064,Negative
"nice starbucks in a nice little plaza. great staff, and fast! as a starbucks should be!",0.65008,1.0,Strong Positive
"we just stopped here (7-15-17) at 7:00 am for our fuel to get us going on a long 14 hour drive ahead of us. i wish i would have gotten the employee names, but hopefully leaving the date and time will help so they can be recognized! all 3 staff on hand were incredibly kind; each individually wished us both a great day and a good morning. the drinks were even better than normal, and the whole establishment including the restrooms were very clean. thanks for the pep in our step, starbucks!",0.99672,0.4543083956216415,Positive
"starbucks continues to be the bane of my existence. the thorn in my side. the ultimate example of everything that is wrong with chain restaurants, and the suburbs. while i do enjoy their coffee and willingly pay five dollars a cup for coffee, water, and milk. i would much prefer going to a mom and pop establishment. however, the problem with the suburbs is there is a severe lack in mom and pop coffee shops. but i guess the upside to chain restaurants is that you can always expect the same quality where ever you go. all my ranting aside, this is a good starbucks. they have a nice outdoor patio, my order is always correct, and they have a drive through which is always convenient. be warned, however, this drive through with its proximity to rt. 1 and the turnpike, can get very crowded in the mornings.",0.44023999999999996,0.2146812969739656,Positive
probably the friendliest starbucks i have ever been to! i walked out there with a smile on my face. such a pleasant way to start my day!,0.9498,0.6835051822817801,Strong Positive
"they are taking covid-19 protocols seriously. they added plexiglass by the cashiers and they are enforcing everyone to wear their mask properly. they opened up about 3 tables recently. their bathrooms are still closed. the staff here is really friendly and they're all hard workers. when they are busy, everyone seemed very focus and organized. for how busy they are, they are very efficient. for the amount of people they have, they get the drinks out quickly. if you come here during the weekdays and if it's around 7am to 8am, i suggest to do a mobile order. order 15 minutes in advance before you arrive, to ensure your drink is done when you get there. sometimes they get slammed and there's usually a really long line in the drive thru. if you weren't aware, you can also add a tip on the app, by viewing your receipt. select the dollar amount and click done. i didn't know this until recently. i think starbucks should ask if you'd like to leave a tip before checking out. this way, it's visible to everyone.",0.942,0.26514721162928123,Positive
"i don't understand why they use online ordering for!!! i ordered 15 min before i arrived, 2-workers, no line! they haven't even started my one drink! i guess this what happens when u have poor management!",-0.90224,-0.8231463070814559,Strong Negative
"i've been here twice, and each time my drink has been wrong, when it's marked correctly on the cup. each time i seem to have someone at the register who also can't find buttons or has a hard time just ringing the order in for one drink. if you are looking for efficiency and accuracy, god forbid you are in a rush, i definitely wouldn't come here. the staff are super nice, they just need to actually do the job correctly and this place would be great. might need to improve training.",-0.22603999999999996,-0.0551748948678764,Neutral
they always get my order wrong!! i usually order a hot espresso drink and substitute coconut milk for regular but add whip. somehow the whip never makes it on the drink. sometimes the drink comes out as a frappuccino!! i've ordered both through the app and in the store and it's always wrong. what i love about starbucks is the ability to create your own drink. i hate visiting this location because i have to double check everything. and when you are spending almost $6 for a drink you want it to be right,-0.13387999999999997,-0.06109382699326376,Neutral
"my friend and i met here for coffee. the cashier was extremely rude. she was cussing as she rung up my friend and snatched my card from me when i was paying. needless to say, she is always rude. that can't be good for business. lets also talk about the guy who took my drink order. it seemed to me like he was hard of hearing. i said ""skinny caramel latte"" maybe 5 times and he still wrote it wrong on the cup and before i was even telling him additional things for my drink and he gave it to the barista as i was telling him that i wasn't finished. i went over to the barista and told him what i wanted and he was very nice and apologized because he saw what had happened. we couldn't see a manager on duty to tell this to, so i figured a review would do.",-0.16768,-0.2306954040428258,Negative
"i typically come through the drive-thru and have good experiences, always fast and accurate service, but had a great experience at this store today and i had to share! my friend and i are both partners and have been through so many stores (and have a habit of watching and analyzing who's on bar)! the baristas at this store at every single position were on point today and so so kind!! they were operating effortlessly and quickly and were kind and accommodating to everyone in the cafe while also managing the drive thru. my complicated-a** friend even got a drink that he never gets right at other stores, and he said it tasted just like he made it for himself. overall 10/10 experiences, todays morning crewe really made our day and were doing it right. will be returning forever and ever!",0.9958400000000001,0.8188539602873798,Strong Positive
"this starbucks is very similar to all others but i find the employees a little less friendly here. it may be that most of the patrons are here studying or working so it's a more serious environment. it might be that everyone is just hard at work. i just don't get a warm and fuzzy feeling here at all. people seem a little stoic. my coffees here have been delicious, and the staff is very efficient. i'll be back.",0.65912,0.7153070182326744,Strong Positive
"this location is a bit odd because of the design of the building/parking lot. the drive thru is usually very busy and because of the design, the line literally wraps around the building. this also makes it risky to park in the three spots directly in front of the building because you can get blocked in. they renovated the interior in 2019 and made the seating area smaller. location is the main thing this place has going for it, otherwise you should go to the other o'fallon location on us highway 50.",-0.55476,0.2883788273837472,Positive
"not much to review ... it's a starbucks; what can you say, except to be glad they have one in the mall! you get your drink, and hope it's up to par. if not, they'll make you another one. so relax, and hope they get your drink right. also, prices are a little higher than other stores, the barista couldn't explain why. but that's ok- maybe they're a privately operated. there are few tables and chairs, so it is convenient to stop, have coffee, and strategize shopping plans. they use the app, and it's convenient.",0.23944000000000001,0.16713371827790088,Neutral
"i've gone to this starbucks for almost twenty years now, and though i've aged and some things have changed, the service here 3 years ago went down hill. many of us went to this location because it actually was fun, but time moved and so did alot of the people, and starbucks pretty much exploded in the last 15 years or so, being that they are everywhere. we still think of this place, but 3 years ago is when it started going down hill will service. that is sad. but it is most likely confounded, as mentioned. locations are everywhere now, and people move on. ~peace thomas :)",0.06044000000000005,-0.20949512510022142,Negative
fast service and the unicorn frap is fantastic!! the drink is extremely refreshing and not too sweet.,0.76108,0.5513530578846261,Positive
"the lady works in the counter for making drinks in the morning on sunday seems to be very mean or racist. i said to the male employee that i wanted the drink to have no ice, and he wrote it on the cup. it was understandable that she mistook it for having ice. but after i asked her to take the ice out, she didn't even say a word with the mean face and took the ice out silently. i said thank you to her, and she still didn't want to say a word to me with the mean face. but she said ""have a great day"" with a large smiley face to the white customers before and after me. i'm wondering if this is the overall starbuck employees' attitudes to people with different color.",-0.2513599999999999,-0.3136165490819499,Negative
"i am not a starbucks person but i do come in for tea sometimes. i have often noticed when in the broad ripple location that they have the absolutely nicest/best team. they are so happy, polite, professional and make you feel so warm and welcome. i like this location so so much. i come in when my daughter is at dj class. good stuff.",0.98924,1.0,Strong Positive
i was running a little bit late today so i stopped in at starbucks to grab a quick oatmeal for breakfast. i was the only one in the store. it took them about 15 minutes to make the oatmeal.... running later than i would have liked i ran to work open up the packet of blueberries was hit with such an overwhelming stench of rotten fruit. looking down on expiration date it's well over a month and a half old. i know it's really my fault i picked to go to starbucks over literally any other place and i will not be making that mistakes again,-0.9416,-0.32021046768574846,Negative
one of my favorite starbucks places! the workers here are wonderful and the service is even more amazing! came in for coffee and for some reason my starbucks app would not pull up so i can redeem my free drink. the girl who was at the window told me not to worry and have a wonderful day. just amazing customer service!,0.99092,0.55824388943782,Positive
"my friend used to work here she always told me never to go here because they do not wash there stuff daily, a pond in the dishwasher and mold where it shouldn't be. said it was absolutely disgusting never go here unless you want to take a sick day at work",-0.81652,-0.6558550088180398,Strong Negative
"what a complete shit show! staff sucks accept for sarah. they have let all of their seasoned people go. drive thru sucks! the rookies/snowflakes could care less about serving their customers. i met the jackass district manager. her head is so far shoved up her own ass she has no clue on customer service. the ukrainian mafia has moved in and are allowed to smoke outside the front and side door. they intimidate a lot of customers. i was told we allow it because they tip well. none of the mainline mom's driving their range rovers or suburbans have any clue on how to drive in the drive thru. so, if you don't have time to waste for the douche bags in devon, take a quick trip and go to target. it is always empty.",-0.97644,-0.5525517631888608,Negative
"what can i say? it's a starbucks and if you've been to one, you've been to them all. my ""go to's"" for starbucks are always the peppermint mocha frappucino or the pumpkin spice frapp, when it's in season. i stop in here when i am looking for a dessert type of drink and i don't think i have ever actually had real coffee here, now that i think about it. this is a nice location that usually has people coming and going all day, since it's located on a busy part of manhattan.",0.06124000000000001,0.6908270425916035,Strong Positive
"so... five employees... one working as a cashier, one making drinks one squatting down i assume looking for some thing, one sticking his butt in her face laughing then going on about ""blah blah blah bullshit, blah blah blah bullshit"", and the final one stuffing his face with food and visiting each individual employee. on a positive note, they got the order right so i guess that deserves one star at least. ‍",-0.85476,-0.059623985583444714,Neutral
"i give this place 2 stars for its service only, which is friendly. however it gets only 2 stars because they don't know anything about coffee. the customer behind me asked what the difference is between a regular drip coffee and an americano. the barista looked at her for a long time with a confused look and then told her that it was a ""darker coffee with more caffeine because it has espresso in it."" if you know anything about coffee, you know he's wrong on all counts... didn't expect much, but misinformation is worse than just saying ""i don't know.""",-0.6308400000000001,-0.24613735627383038,Negative
"in the middle and late 1980s, this particular location was a café paradiso. i was more of a tea drinker than a coffee drinker then, but every once in awhile, i went to café paradiso for their snacks, baked goods and an occasional cup or two of coffee. it was a nice place and i liked it a lot. then, one day when i was working and going to classes at a nearby university, café paradiso was gone; it was converted to a starbucks. and it's still a starbucks. my café paradiso was gone! quel horreur! so now, it has continued to be a starbucks ever since then, and it's not too much different than all the other starbucks locations. some have outside seating, and others don't have outside seating, this one has outside seating. the interior must have been remodeled because it's dark like everything is mahogany wood or made to look like that and depressing inside. i'm not sure what they were trying to accomplish with that, but for me, it doesn't work. it doesn't feel inviting and i didn't want to stay there very long. they offer typical starbucks stuff. they were limited on the starbucks merchandise like cups and mugs. they had food offerings like made up sandwiches and what seemed like limited baked goods. parking is a problem now because the formerly free spaces along wydown are not free anymore. they have an electronic pay station where you have to pay for the parking now. i don't know why they changed it, but it is now really inconvenient to park there now. those electronic pay stations are a major pain in the ass because they take coins or cards, and you have to put in your plate number in addition to paying with either the card or coins. i hate them. around the corner are the old fashioned parking meters which i prefer over that damn pay station. so just beware of that and you will get a ticket if you don't pay. i won't be back anytime soon.",-0.37036,0.15427527924529458,Neutral
"headed for flight and stopped as i normally do. line was 40 people deep, wrapped around the store next door. stood for 15-20 minutes and did not move. no coffee is worth this aggravation. they need a better system for folks who just want a cup of black coffee.",-0.35063999999999995,-0.5979117089678153,Negative
"had a bad experience at this starbucks. made a mobile order from the app and chose the location. it took my money. we get to the front only to find out that this location does not except mobile orders. it sent it to the next starbucks. the barista said to call the other location and cancel my order and get a refund. after ringing a very long time with no answer i hung up and called back. more waiting but when the gentleman answered he said he couldn't cancel my order. they have no control over mobile orders. now i have to take my time to call the corporate office and try to get my money credited back. they should not have locations listed on the app that don't accept mobile orders!!! what a mixed up way of doing business!! actually not this locations fault i guess , but they knew it was an issue and has been and haven't corrected it !!",-0.4722,-0.33173659596300054,Negative
"this has to be the worst starbucks in idaho. i went through the drive thru on one of those rainy days, ordered my $7.00 coffee and left only to get down the road to take a sip of the wrong coffee. i drove back to starbucks, went through the drive thru again and explained that i had received the wrong coffee. they apologized and said that they would make me another coffee correctly this time. well, my story should end here but it doesn't. they hand me the coffee and while i'm at the window i take a drink, it's wrong again! at this time i just ask for my money back, after 5 minutes they finally give me a card with a $7.00 credit on it to use at any starbucks. i end up going to another starbucks where they know how to make their product only to find that instead of a $7.00 card i was given one with the value of $4.00. that is actually consumer fraud and i will never go back to that starbucks again.",-0.96156,-1.0,Strong Negative
"i know most of the reviews are of the drive thru... i always like to walk into a starbucks, mostly for the fact that i put a lot of sugar in my coffee and you never get that with a drive thru. the inside is nice and clean, and i never have any problem making an order. it is served up nice and quickly and i go about my day. i enjoy it, no reason to hate.",0.3416,0.5304597054180611,Positive
i like this location because the drive thru line is efficient and tricks you into thinking the line isn't as long as it is. quick service& delicious coffee.,0.62704,0.66753246258799,Strong Positive
"our favorite starbucks we ever regularly went to, they are always fast, super polite, and never mess up drinks. shoutout to alex, the best barista who always knew our drinks when we came",0.96872,0.9075868040401802,Strong Positive
"agh. meh. mmmph. and other shoulder shrugging sounds. a.) it's your standard starbucks as far as menu, decor, etc. go b.) the free wifi is less than weak. double ""meh"" c.) i get that the suburbanites have few other coffee shop options, but holy shiza this place is jiggity jammed. d.) friendly service e.) it gets ""the job"" done",0.26120000000000004,0.28145420925935294,Positive
"this is a pretty standard starbucks. it's close to work for me, and the staff is very nice. it's really, really small.",0.597,0.5355448182954996,Positive
"love this starbucks. the crew working is so kind and fun (usually) and they want to get your day started right! thankful for starbucks black coffee not breakfast and lattes or tea for lunch. up for something different, try a matcha latte. up for something new, try their nitro brew. up for the most delicious tea, try peach tranquility! and if you aren't feeling the best, ask for the medicine ball drink -- it's delish! love starbucks for its typical consistency",0.9912799999999999,0.9711337074855027,Strong Positive
"it's new and so are all the baristas. but they are super nice. and i can tell they actually hired some people from the neighborhood. that made me smile. psalm, is my fav. the artwork by b mike is also a plus. if i ever have a reason to sit in inside i'll grab a seat by the window and gawk at that.",0.98152,0.708105365557156,Strong Positive
1-1-15 just went in for a chi ice tea to start the new year. asked for soy milk and extra cream. once i got my order i asked for a bit more cream since the server squirted a little cream. she then gave me the worst attitude you can give a customer. then i asked for a staw and she tossed it at me like i was a dog. they need to retrain this girl on service. never going to thos starbucks again. extreemly rude girl employee.,-0.87232,-0.8991939257308409,Strong Negative
