text,actual_sentiment,predicted_sentiment
not very nice service. the young woman wanted to close and not allow me to check out even though i was in line. i was just buying a prepacked food item. there were three people working. they couldn't help bc she had a tab open and was also making their drinks. it took approx 2 seconds to check me out with my sbux app after she closed her tab. she turned away other customers as well.,negative,negative
you'd think with six employees it wouldn't take 10 minutes to get an iced coffee!starbucks has been added to my regular morning routine which usually means a long line in the drive thru. my logic says park and you'll beat a lot of the cars in line. well my reasoning is incorrect. this location obviously caters to the guests in their drive thru. i'll admit the product is always good but you'd think patrons that go inside would receive the same service as those in their car.,negative,neutral
"great service, full cup coffee. justin and fabl are working amazing! good location and good coffee",positive,positive
"i've been to this starbucks location couple of times and the experience of getting coffee here always been the same, horrible! minus the dirty counters and grumpy baristas who visibly hate their job including the coffee they made you they also will make you wait for it. the tipping point for me was when i ordered a simple drink (tall pike) went to get half & half at the dirty counter but found it to be empty, skim milk - empty, whole milk - empty, i asked barista if i could get more half & half, she looked at me and said sure! then ignored me for good 10 minutes until i left, other baristas also ignored me while being busy hating on their job. i went to the near by gas station to get me half & half for the coffee i purchased at the starbucks. (anyone else see anything wrong with this?) so if you still decide to come here, get in line for slow crevice and free humiliation. next time i'll come here, but who am i kidding i will never come here again.",negative,negative
"this is definitely my 2nd home in philly. i live just one block away, so it's not unusual for me to spend 3 hours a day here doing work. most of the staff are totally cool - one person definitely irks me though. she just isn't friendly and likes to make a ton of noise an hour before closing to make people leave. i love that there are lots of places to sit, lots of outlets, and most of the sitting area is away from the noisy counter. the only thing i wish was that they made better chai lattes. i'll have to say that if you want your drink done right, go to the 12th and walnut starbucks. that was my go to place until my wallet was stolen there 2 years ago. i have been there once or twice and savor the chai when i go there, but that whole experience turned me off to that location. thanks 10th and chestnut for being my home away from home!",positive,positive
now i know why starbucks does not mix the frappuccinos all the way! it's so the drinks can look pretty waiting for customers to pick up their orders! my favorites are the matcha green tea and chai fraps!,positive,neutral
ordered 4 coffees size grande. received 2 size tall in grande cups and 2 grande that were actually grande. very disappointed. was taking to my fellow nurses working 12 hour shifts at a pediatric hospital. will never go to starbucks again. $17 for 4 coffees that weren't even full when i could have went to wawa and paid $4 for 4 full coffees.,negative,negative
"what an absolute pleasure going through this drive-thru this morning! the gentleman passing our coffee out the window and taking payment was such a sweetheart. you know it only takes a moment to be really nice, make a joke or two and completely make someone's morning. this guy knows it. plus it's just a short jaunt from the ridiculously busy drive-thru at the speedway/wilmot store where i sometimes worry i might run out of gas waiting in line because the line is so. freakin'. long. not an issue at broadway/kolb plus they're super nice and speedy!",positive,positive
"pricey, but overall the best place for a tasty venti vanilla latte. love the lemon pound cake w/white glaze frosting poured on top, soothes the sweet tooth and goes well with your java! : )",positive,positive
you guys are the best! and reallly held it together well during covid with that drive thru madness... i come almost every day and rarely is my order ever messed up!! thank you!,positive,positive
"the problem is now, the same as it's always been, the manager natalie. i worked for her for about 7 months back in 2010 and the same thing i hear from customers today is the same thing as it was back then. profits above care. as long as you could sell bulk coffee to teenagers for only came in at night to steal wi-fi (yes, let the logic wash over you) you were good. she's driven numerous good employees from the store, or cut down their hours to bare minimal (a barista frank went from 35 per week to 7) the parking for this place will never get better because it can't get better, there is no way of expanding the lot, so you have to deal with the privileged parking mommy and daddy's bmw any way they see fit. brit is the only reason i'd ever walk back into that place. one great employee though can't save the sinking ship.",negative,negative
new location is now open - avoid it. it's dirty inside. service is downright pissy. and their drinks aren't made right.,negative,negative
i went in here to order a beverage but the line was so long and the employee was moving at snail speed so i walked out. will not be returning.,negative,negative
"they coffee here is good, like at all starbucks. the offerings to eat is quite limited. what is astounding is how indifferent the people who work here are to how loud the music is. at times it is impossible to talk to someone on the phone without using the speaker phone. i have had to talk to people who work at various starbucks about this, requesting that they turn the music down, mostly with bad results. they say they will gladly will turn the music down, then they don't. and they will not turn it off. i can only surmise what the reason is for this is: they think they are a music venue, and the music they are playing is simply too important for people not to be exposed to it.",negative,negative
"today, i had a horrible experience at this starbucks. i'm going to call out the particular shift because i think managers should know what their barista's are doing. i was in around 11am on sunday. the barista started my drink, and another customers drink. during this time she decided to walk to the back..get a mop..proceed to mop the floor...and than put the mop back...finally getting back to finish off our drinks...really????? horrible customer service starbucks....while i will be back...i hope to get a barista who actually cares about their customers.",negative,negative
thomas was awesome! busy line and he was able to get it moving quick so i was quick to get my drink and go to work on time. love all of the staff here. my favorite starbucks!,positive,positive
a great place to get some work done! the plugs are plentiful. it's located just off the hwy and... most importantly... the baristas are fast and friendly.,positive,positive
this starbucks seems to stay pretty busy. lots of traffic but they seem on top of things. i have a certain way that i like my coffee doing keto. i've only had one barista to make it where it tastes different and not in a good way. everyone else that's ever made it tastes the same. if that barista is making coffees and i happen to go in there i will just wait to get my coffee.,positive,negative
i am so sick and the only card i have was on my cell phone and it doesn't scan. it has the numbers and the security code on the back. update your system it's 2019 i am so sick and needed a medicine ball. thanks for making me wait 29 minutes to get to the register and then tell me i can't order because your computer doesn't allow you to type in a credit card. horrible,negative,negative
"the ladies behind the counter were on it today. i walked up to a 10 deep line and they cranked through it like pros. not the most friendly bunch, but efficient, and sometimes that is just good enough. star off for the sitting area being a bit messy.",positive,neutral
"the staff that work at this starbucks are amazing. a review mentioning ""loud and obnoxious employees"" is totally off base. i've never had a bad experience here and i am a daily regular. you will be greeted with a smile and a great beverage every time you visit!",positive,positive
"honestly, reviewing a starbucks is like reviewing a mcdonalds. you know what you're getting, and the quality may vary depending on just how little the employees care at the precise moment you're there, but it will never be the best culinary experience of your life, nor will it be the worst. that said, the staff were friendly, seemed competent, and made their way through a fairly long line of customers in a reasonable amount of time.",positive,positive
"boyfriend and i went to grab some iced coffee drink for him and water for both of us. spent about 10-12 minutes in drive-thru with only 3 cars in front of us. we come from a congested area in the suburbs of dc where drive-thrus are usually 10-15 cars long and the wait won't be much longer than experienced today. when we pulled up to the window, we saw 5 employees standing around chatting and were told that someone will be right with us. boyfriend gets his drink and a minute later, we get one water after ordering two. no receipt, no straw for coffee drink, and no second water. if we weren't in a rush, we would've come in the store and demanded to speak with the shift manager. but for some reason, i feel that wouldn't have resolved or changed anything. stay away. go to dunkin for quick coffee fix, or small local coffee shops for small business support and better service.",negative,negative
"this starbucks is always busy and packed, but mostly because it's the size of a large closet. there are only three tables in the whole joint, and i'm sure that's on purpose. with the number of people shuffling in and out, it's tough to be productive. fortunately they have more tables outside. so if the weather is nice, you can enjoy some great sites of indianapolis' downtown circle.",neutral,positive
one of the best staffed starbucks in the area!!! friendly and always feel welcomed management is awesome place is clean,positive,positive
"i love this starbucks! i agree with some other reviewers about the decor not being as fancy or modern as other starbucks, but i don't really care about the decorations as much as the customer service. we all know that starbucks isn't cheap, but when you have great service it feels worth it. consequently - i've had horrible service at the one across the street in la cumbre plaza....literally the barista called out ""venti iced coffee sweetened for mary"" and i stood up and apologetically gestured ""oh, i said nosweetener actually"" and she glared at me while dumping out my iced coffee (continuously glaring at me) and then refilled it and pushed it towards me. her coworker was standing next to her and i smiled at her and said ""wow, what great customer service, huh?"" she just smiled and looked away. i mean, if you hate your job it definitely shows through to your customers. i've never had a bad experience here at this starbucks, but i avoid the other like the plague. i come for the coffee but i come back for the excellent service. in fact, at this one in particular i've had baristas tell me that if i'm not happy with my drink choice to please let them know so they can remake it.",positive,negative
"let me start this review by saying fishers and the greater indianapolis area needs more late night coffee spots! i've bounced around several college towns over the last 16yrs and it baffles me that when i'm feeling a late night need go study, write, and just get out with a friend and talk over coffee, my only consistent late night option is ihop . that being said, this is a...drumroll please...starbucks!!! you know the menu. it's consistent. however, why i give this specific starbucks 4* is because i love the vibe/atmosphere and is it open until 11pm on friday and saturday night! most of my study time happens in the evening once my kids go down and it's nice to have a place in fishers to go. the baristas are really nice, the menu is consistent. there are plenty of tables and outlets to go around. and it's open late(r)!",positive,positive
"stopped on a very rainy saturday for a nice hot tea and a coffee. i was greeted right when i walked in the door and the barista who took my order was very friendly. this location was very clean and seemed to be doing a brisk business. the drinks were prepared quickly and tasted exactly right. i had even asked at the counter what coffee they would recommend for the average coffee drinker, since i do not drink black coffee and he was glad to help and recommended the pike roast. my mom approved when she tasted. if i am near this location i would return.",positive,positive
"well, they tried. the employees were nice. they keep the location clean, which i'd imagine might be a challenge with a bunch of i-95 drivers passing through. but, i waited a bit longer than i expected for my drink only to get a grande when i'd ordered a venti. i noted the issue, they offered to fix it, i waited another five minutes or so before telling them that i'd rather take the grande for the venti price and get back on the road. they apologized again and offered to make my drink immediately... had i cared more, i believe they would have gotten me the right thing right away. none of the shortcomings were willful, but i still opted to hit the road with my grande. my memory is a bit hazy on the details, but i remember having a similar issue on a past trip. the staff members seem to mean well, and the experience could be a lot worse, but ""meh. i've experienced better.""",negative,positive
"recently given a nip/tuck.. this starbucks brings the new single-serving clover brewing system and starbuck's new reserve beans. not to mention the great new starbucks decor and look! back to to clover system. it's so great! especially for an iced coffee lover. i now have so many more options for iced coffee instead of just the one typical pre-made ""iced coffee blend"". they can now make any bean they have in store into an iced coffee. it's fantastic! try them all! my favorite right now is an iced indivisible blend coffee! and the people are nice too. very friendly. something else that makes this unique is the outdoor walk-up window. very cool. my go-to starbucks!",positive,positive
"the espresso shots weren't as strong as they usually are in other starbucks locations. i found this disappointing, since i really needed the shots to wake myself up for a long drive.",neutral,negative
"the staff here is super sweet and helpful, i haven't had an issue with customer service at all. however, i recently have started doing my daily mobile order because my job moved locations, and 4/5 times my order is either wrong or late. it seems like this store is incredibly busy, which is totally understandable, but they also seem to have some very serious staffing/management issues. it's definitely not the employees fault, they are just trying their best, but when i give them 20 minutes to get my drink done via the mobile app and then i show up and it's still not done, it's clear that this store is operational deficient.",negative,neutral
"i feel the manager of this location has a unprofessional manner when dealing with the staff. maybe she needs more training in leadership and how it directly affects staff and customer service! she has the tenancy to belittle them with ""problems the entire staff is doing wrong"". not leading by example and giving them ""written guide instructions"" needed for shift work. this is a crazy busy position for young adults trying to introduce themselves in the workforce! they need good leadership, encouragement and defined instruction of what is needed to do the job well! not bullying and negative attitude by their manager! this always correlates to customer service! i hope this helps in some way. this could be a great place if management could change.",negative,negative
starbucks always has good customer service! the best variety menu! comfortable and never disappoints#,positive,positive
i was happy to see a new starbucks open just off the highway which in convenient on my work route. it's essentially a small drive thru only store. it does have a small walk up window but there is no inside option. this works out well for me as i'm coming here on my drive to work. the times i've been here the line has moved very quickly and the service was friendly. i usually go to the richmond heights store but even though it's a nice location and has a lot of staff they are often painfully slow and make me late to work. ill definitely be using this location as my go to workday stop from now on.,positive,positive
i'm just wondering why i got stuck in the drive thru for 30+ minutes with a total of 5 cars in front of me. i so wish i was exaggerating.,negative,negative
we always get friendly and professional service here plus properly made drinks. we buy a hot chocolate for my wife's manicurist each month and sometimes an espresso for myself. thanks for being on point! life is good with espresso!,positive,positive
"pretty disappointed in this starbucks. i never go to starbucks because they are always overly packed and i could easily go to dd. well decided to treat myself and well the drink they gave me was disgusting mind you i order the same thing for probably 10 years now and know what it should taste like. they also didn't put the carmel that i paid extra for in it which says on the side of the cup. so i turned around and decided to get it fixed i get it mess ups happen, they go ahead and tell me they are remaking it. i spent fifteen minutes waiting for my new drink which at first i was like ok they are obviously going to get the couple before me...... no they got about 5 cars and 7 orders before i got mine which i have already waited patiently for my first one. will now go eat my cold breakfast sandwich with my ok remake drink on my way to work. will save my time and money next time i want to treat myself.",negative,negative
"super slow!!! but super friendly. there were only two cars in front of me and they didn't have a massive order or anything but it still took 15 mins to get my drink. that's a bit excessive for a drive thru. sure, i could have mobile order (which i usually do) but this location said they were out of what i wanted on mobile app but really they were not out. my frap was melted and my tea looked like it was sitting around for awhile. i'm sure they made the drinks right away when i ordered. they just took a long time through the drive thru. anyways, i'm sure i'll be back to this location if i'm in the area.",neutral,negative
"you have a very rude (continuously) female barista who must hate her job, or hate life in general in the morning hours before 9am on the weekdays. i've experienced this and have seen her be rude to others as well. she either needs a cup of coffee or a reality check that she's making other people's mornings not so pleasant. makes me want to go to another coffee shop.",negative,negative
"usually all is well here at this store, and i usually frequent it everyday on my way home. today was different. i stopped in around 6pm and i guess there was training going on where the store cleanliness was neglected, even though there was very little traffic (since the drive thru was closed too). i got my coffee then went for a refill, where i was told that coffee doesn't get refills. this is the first time i've heard this ""company policy"" since it could ""give me a heart attack."" the barista really didn't care that everyone else but her has done refills and have me a similar drink without asking if that's what i wanted. it not like i'll never come back, but i'll avoid that barista for sure. so much for the third place.",negative,negative
"absolutely the worst starbucks in new orleans . store is dirty, unkempt and not stocked with basic supplies i.e. straws and napkins. baristas are rude and can't even get a mobile order correct or complete . save your money and aggravation and go somewhere else , anywhere else. not interested in guest satisfaction at all. avoid avoid avoid .ps french truck coffee just opened down magazine , go there , i know i will.",negative,negative
"this is by far my favorite starbucks. the baristas get inundated with crowds from the dome, from the met, from downtown generally, and they still take time to make sure everyone gets everything and they always get it right. the baristas know my name and i've only been in town for a few months. they're very kind, ask how things are going, and are very hard working. i especially like dealing with cam, sam, desiree, michale, shelton, lydia, mac, and another fellow whose name i just blanked out on (sorry!) love this store and this team.",positive,positive
i met a friend here once a week and the service is always quick but not very personal. there are so many people here is hard to find a place to sit. not a good place to work but a great location and fast service.,positive,positive
"this is an small starbucks in odessa but the close one to the lutz area. i am very excited about the service and attention today. my coffee was prepared to perfection. joe, the manager was talking with the customers today about the remodeling of the store and what we will expecting at the end of may. he graciously passed out some samples of sconces to all the guests. i can see how hard he is working to make sure that are employees are nice and attentive to customers. keep the hard work!!!",positive,positive
"the worst customer service ever. waited while people who were behind me, got their drinks. saw 5 orders made that were wrong and had to be redone. one three times! starbucks area manager - you had best get over here and do some training. unorganized.. unmotivated. unhappy...",negative,negative
"if i could give zero stars i would once again, another terrible experience at this location. the staff is so unprofessional it's a shame. i started to say my order and before i could even get out what i wanted the lady was walking away starting the order. i said ""can i have a small hot coffee? caramel drizzle, extra..."" she walks away and begins making it before i could complete my sentence. then she returns to the register with a black coffee. i said ""i wasn't finish"". i continue to say my order and the lady said ""we don't put half and half in, we let the customer do it"" i continued to tell her i wanted whipped cream. then she magically was able to add half and half. pure laziness. i asked for a banana nut bread and she said ""we ain't got none "". the level of ignorance and irritation that they display is disgusting !!! i will never return",negative,negative
"i have to say, starbucks as a whole, i thoroughly enjoy. and even after trying multiple coffee shops, i always go back. but i always find myself stuck stopping at this one on my way to visit family in hernando county, and i hate it. they are always out of almost half their menu items by 10:30am and the staff are incredibly unfriendly. i cringe when i have to go in, and find myself usually annoyed when i leave. to the staff, if you hate your job or can't be nice, maybe the hospitality business isn't for you, and quit. to the manager, please figure out your quotas and stock, running out of something three weeks in a row is pretty bad. sincerely, annoyed customer.",negative,negative
"for many years we suffered without a starbucks drive-thru on the west side of town. all of the starbucks were closer to work and had spectacularly long lines. suddenly, like a mirage in the desert the starbucks on a hill appears! conveniently located next to the interstate, this starbucks is perfectly located for a frappuccino or latte on the way to work! it hasn't been open long, but in all my visits so far, i've been greeted with friendly baristas who promptly delivered my coffee beverage. i look forward to many more visits to this starbucks in the years to come.",positive,positive
"so slow, 25 mins for a cup of coffee, app doesn't work, shorted on coffee, not even especially nice...not a good way to start the day",negative,negative
"i have a couple complaints about this starbucks. my boyfriend and i live nearby, so this is the starbucks we frequent, especially when we need a pick-me-up on our way to phoenix. we usually get a coffee and a breakfast sandwich. my favorite is the spinach feta wrap, which is always perfection but twice now my boyfriend has gotten the sausage & egg sandwich and it's been cold in the middle. another time, we frequented this place was to get an iced tea and a latte. i ordered an unsweetened passion fruit and the bf got a vanilla latte. his came out at least 5 minutes before mine and when i finally got mine and took a sip, i could tell it had sweetener in it. i checked the cup label to see if it said unsweetened, and it did. i stood there for another couple minutes before an employee approached me and made me a new drink. this all wouldn't have bothered me so much if i didn't have to wait so long in between erik's drink and mine.",neutral,negative
"good danish. fresh, buttery and soft. but $4.00 for a medium iced chai tea latte? really! and it wasn't even that good. ummm half bucks wasted here.",neutral,neutral
the absolutely worse starbucks experience that one can have. it is actually a starbucks franchise. wouldn't recommend it to my worse enemy.. or even to donald trump .,negative,negative
"i like this place. have come here for years. they moved it a bit up tbe street and added a drive thru. unfortunately, they haven't figured out how to manage the traffic from drivethru and walkin yet. always slow.",positive,positive
worst starbucks i have ever visited. they're have a 7 people behind the counter that do not know what they're doing-the line just grows. i've never waited this long for a drink and food.,negative,negative
"this is really embarrassing. starbucks subjects it's customer to boring national standards for product while providing none of the large scale benefits of employee support and training. the ""baristas"" at both this and the harbor island store are painfully slow and lack understanding of the product. combine this with one more stained shirt from the lid opening being put on the seam and i am going elsewhere. starbucks said ""it was all about the experience"". if this is what they deliver they better improve the coffee!",negative,negative
"for the most part this location does a decent job in delivering good, temperature appropriate food/beverages. on many occasions they've forgotten to give napkins, condiments, and/or handed items out of the window one by one rather than putting everything into a bag. i know there's a pandemic going on and shortages on supply but let's think logically and give the customers what they need.",neutral,negative
love starbucks but the egyptian taking all over the place and the fight in it wallah... i come here everyday because i love seeing them fighting lol,positive,positive
stopped by this morning. my drink was alright but the place smelled like burnt coffee like usual. there were actually seats open today. most of the time there is barely enough room to wait.,negative,neutral
probably still the worst starbucks i've been too. they make you wait a 20min long line just to be told that they're out of what you want to get regardless of what time of day. manager is rude and no help either.,negative,negative
"i went here to get my salted cold foam cold brew, and the barista said they were all out of salted cold foam cold brew. what the heck do you mean you're out of salted cold foam cold brew, y'all are advertising it everywhere. so, they gave me an iced coffee instead of my salted cold foam cold brew- and thankfully they put some salted cold foam on top, but the salted cold foam wasn't even salted!? wtf is this? why would i go to get a salted cold foam cold brew if the salted cold foam isn't even salted? unacceptable. this is why people regularly die in the bathrooms.",negative,negative
"wanted a quick starbucks stop for coffee and treats and this location was great!! fresh coffee, yummy bakery items, and very prompt service!! definitely recommend if you're driving through or in the area!",positive,positive
"i think a little t depends on the time of the day for this location. i've been here several times and mostly good experiences. i've used the drive through and when i got home i had the wrong order and was upset but too far to drive back to fix the issue. i have my usual order at any starbucks and it's an easy drink and 95% of the time it's on point but today my drink was a bit off, but not enough to ask them to remake it. i come here because it's a convenient location. this is basically a free standing location but there is a chase bank connected. plenty of parking and a large seat area albeit full most of the time. they also offer an outdoor patio which is nice when the florida weather cooperates! i'd recommend this location as much as any other. the baristas aren't overly friendly but they do what is expected - making a coffe drink or a tea beverage.",positive,neutral
as others has said this is by far one of the slowest locations i've ever been at. one person working taking orders and working as a cashier. the majority of my time in the drive thru was listening to her taking orders. a definite need for more help or training. my frappe was very good but melted a little while i waited to be served.,neutral,negative
"another starbucks. typical drinks, typical snacks, typical decoration. so what makes this one different from the rest? i can point out 2 pros and 1 con: pro #1: location. this is located on a busy corner of one of the busiest foot traffic streets in edmonton (whyte ave; also known as 82nd ave). so the location makes this starbucks a great place to meet up with friends while enjoying an afternoon out and about. another great aspect about the location is the ability to people watch. whether you sit inside, or at a table on the sidewalk, this is a great location to soak in your surroundings. pro #2: i like the bar space set up inside. this is something i haven't seen at any other starbucks. just to the left of the barista brewing centre there is a bar with about 4 stools set up. it is fun to watch the barista's work behind the counter and i love the space available. the round tables at typical starbucks' are quite small if you are going there to do work but this particular bar is very wide which is ideal to spread out books and papers. con #1: i guess this is related to the first pro. the fact that it is located on a busy street means lots of street noise from vehicles driving by and also can make it difficult to find parking. hopefully this encourages people to take public transit but i know that option is not always feasible. overall i do really like this starbucks, especially in the summer while the city is abuzz with all of the festivals taking place.",neutral,positive
"this place hasn't been reviewed in ages. i've come here quite a bit and they are fabulous. some starbucks lack quick service and pleasantries. not this one. the staff are stupid fast and very nice. the location itself is well maintained and has tons of seating to accommodate people watching, eavesdropping, networking, coffee breaks and working. this is one of my fave stops on the north side of yeg. the only issue you may find is parking. the lot can get really busy with the mall patrons. so be on the look out for db parkers and clueless drivers. it gets hairy in this location.",positive,positive
i have never had such rude service at a starbucks before. quite shocking for the area of nashville. i walked in used the restroom and went to the counter where i was the only person in line and waited while being ignore for at least 4 minutes while the lady carried on a conversation with her co worker all while counting her tips. once she finally finished and announced her grand total of tips she finally recognized that i was standing there patiently waiting to order. she was not very friendly nor apologetic for the wait. i order my drinks and my brothers (all the same drinks) and once received walked outside and took a sip of my drink and recognized that it didn't taste like it normally does. so i walked back into the store where the lady who made the drink basically told me that it's not normally a sweet drink and do i want her to add sweetener? my brother also at this time tried his drink and verified his wasn't sweet either and came in behind me as i'm speaking to the lady. the other lady jumps into the conversation and basically says that his normal starbucks is not making his drink following the recipe. so they are not normally sweet. however they can add vanilla sweetener to our drinks if we would like. instead of arguing with them we accepted the vanilla sweetener and went on our way. i felt this duo are just lazy and argumentative and did not want to remake the drinks properly.,negative,negative
"drive-thru wait time a little longer than should be expected. walk-in much quicker. service is great, though! nice people.",positive,positive
"we stopped in for a iced tea on a very warm day. customer service was good. my tea was good as well. the store felt very warm inside, and we ended up going out and sitting in the car with air on to cool off.",neutral,positive
i always forget this starbucks is there. there is always seating when you go at the right time of the day. i get my hair done at circa 79 so it's a great location to grab something sweet before getting beautified!,positive,positive
"super unfriendly baristas, two bathrooms but they had one closed and said the other one was employee only.",negative,negative
"thank you. doth such a place share such an idea with a complement reader? seeks a very refined, polite, female acquaintance who may further an incomplete introduction to society, though discreetly. background...",neutral,positive
"go off-peak hours or plan to wait in line. if you're not in a rush, this is a great place to meet, read, work. their staff is friendly.",positive,positive
stopped here to get some coffee real quick. i was happy they had a drive through. the guy at the drive through made my day with his sense of humor.,positive,positive
"i've really had enough of this starbucks. i stop at it every once in a while on my way between lafayette and indianapolis because it breaks up the drive and i like a little caffeine boost. invariably, whether i walk in or use the drive-through, they screw up my order. usually it's something like whipped cream when i didn't want it, but this time they put regular milk in my drink when i asked for soy. i asked for soy because i'm lactose intolerant. the pain i experienced from their mistake has finally convinced me to never stop at this location again.",negative,negative
"one of my favorite starbucks for on-the-go coffee, certainly not for doing work. not sure if there is any seating at all. however, because it's a little hidden in the bellevue there's never a line and they've never messed up my order or anything. one of my free drink voucher thingies was expired and she was nice enough to still take it! taking a star away though because coffee shops should have some area to meet up and chit chat or do work i think.",positive,positive
"i wouldn't recommend going to this starbucks location. they have consistently gotten my iced coffee wrong, which i think is a simple order, just milk and a flavor, probably 4 of the past 5 visits i had. they are also slightly more expensive and don't usually have as many food items as other starbucks in the area. although the location is convenient, it's worth it to drive a little farther out of my way to go to a different starbucks that will have what i need & get my order correct.",negative,negative
"walked in before they closed at 6:00 pm, there at 5:55 pm and they said they were closed and wouldn't serve me. stopped at this exit just to go to starbucks. need to have a talk with their employees about closing early!",negative,negative
super quick when you're in need of some caffeine and breakfast first thing in the am!,positive,positive
"my girls love starbucks every time we pass a starbucks they want to stop. yesterday we were celebrating my daughter's birthday weekend, passed starbucks and had to stop in the drive up to get their favorites. well, to our surprise and disappointment. the cookie and cake pop was delicious as usual, but the 3 drinks were not good at all. they lacked flavor, half the drink was liquid, and the rest taste like slushy ice, with lumpy deflated whipped cream. there was only 1 car at the window, which left pretty quick. we were next, but waited at the window for a very long time. it appeared the barista was making several orders while we waited. now there is a line around the building ‍‍so so disappointed. a total waste of my $22, then they kept my bank card and ruined my daughter's birthday shopping spree because we had to leave the mall to go back to get my bank card in order to shop. i don't recommend 2705 veterans blvd.",negative,neutral
"reliably good coffee with mediocre service. pastries and sandwiches are made off-site, so quality would be the same as all other starbucks concessions. average cleanliness.",positive,neutral
this place is extremely busy but the staff does a great job keeping the lines moving! coffee is always good!,positive,positive
this is an above average starbucks mostly for its location and its indoor and outdoor seating area. parking can be tricky around here especially at night and weekends. this is a popular area. this coffee shop can get crowded but i have never had to wait very long in a line here nor have i waited long for my drinks. enjoying starbucks outside at this location usually provides some great people watching.,positive,positive
can't go wrong with starbucks just get to this location early because they get crowded in the mornings.,positive,positive
"friendly cashier, not good coffee. definitely not a starbucks filled with employees taking any pride in their work or their creations as baristas. not impressed.",negative,negative
"this is the starbucks closest to my work and i'd come out here even if it wasn't. it tends to be pretty busy and attracts all kinds of characters wandering the mall, but the staff is always friendly and i've never had a bad coffee fix here. some of the workers do make an effort to remember customer names which is a nice touch. it can be a bit of a wait sometimes, but it seems to be because of sheer customer volume, as the place has all the staff that can fit in the small location and it's run well. 5 shots of espresso out of 5.",positive,positive
