text,actual_sentiment,predicted_sentiment
why such a low rating location location location each knocks off one star it s a real shame that there are no cafes or coffee shops in kennett square that are open past on sunday afternoon that s the only reason i headed out to this corporate chain situated in an ugly suburban strip mall i feel dirty spending my money in a place like this like i m playing a role in wrecking the structure of american society that said it really wasn t that bad starbucks is starbucks i had a decent cup of tea and a tasty but overpriced baked good that s par for the course staff were friendly and the atmosphere was tolerable i found the christmas themed decorations a little bit lame and this atmosphere is a bit colder and less cozy than some other starbucks i ve been in but they re all more or less similar get it together kennett square merchants you gotta have something open in the downtown every day of the week when i m in town i ll go there guaranteed maybe the mexican bakery which was open could put some tables out they sure have room for it in their large storefront i d rather give them my money than a starbucks in some butt ugly suburban shopping plaza that s just enriching some sleazy developer,negative,positive
okay this is by far my favorite location the management is wonderful the staff amazing and they even make great drinks i love everything about them and they are always there with a smile drive thru takes a little long but i don t mind since i m just too lazy to walk my butt in there sometimes i have messed up ordering on the app i don t know how many times and they just wave at me and say no worries we got you if i had any new complaint it would be the price and they can t help that love this place,positive,positive
i m a huge fan of starbucks and this was a great one to stop in for it being in such a crowded tourist spot the staff was friendly really enjoyed my latte,positive,positive
this starbucks is closest to me i gave it one star already because of the cold food and even cold coffee i m usually in a rush and i always go via the drive thru my husband wanted a breakfast sandwich i regrettably gave it another try this morning i didn t bother ordering a coffee but two breakfast sandwiches as usual sandwiches are warm to hot on the outside cold not cool but cold on the inside my son has worked at starbucks for years never at this location he told me they must be warming the sandwiches straight from the freezer he said that at the stores he has worked at they take out the sandwiches out of the freezer one day ahead and put them in the refrigerator that way they are not frozen when heated i have on a few occasions spoken to the folks at this store about the cold sandwiches i was advised to order them open faced to make sure they were heated thoroughly but it just doesn t matter either they really are hard frozen to start with or they are ignoring my request to warm them open faced i have no idea luckily this morning i was going back to my office and i heated the sandwiches in our microwave but i hate it when i m on the road and i have to throw it out well i gave it another try for sure no more too bad the staff is very friendly,negative,negative
it s starbucks what else can i say super friendly staff a little cramped space wise they could probaby afford to expand the app makes life easier but seriously a little direction for us semi regulars where do i pick up my mobile order i ve stood there waiting and thinking wait i ordered ahead so i didn t have to wait only to find out that my drink was indeed ready just hidden in the secret mobile order cubby i have a few self described starbucks cult member friends who told me i just need to ask for it when i get there a sign pick up your mobile order here would be helpful but now i know so whatever keep making the peppermint mocha that s my starbucks jam,positive,negative
this place is huuuuuuuuge there is so much seating they should just set up a projector and screen some blockbusters not only is there a ton of seating it comes in all different types round four person tables longer tables with power outlets solo chairs with footrests booths along the walls and backless puffier ottoman like chairs the area with the solo chairs is slightly removed from the rest of the store so you can get your introvert on grab that prime seating behind the merch shelf and get some work done the staff was super friendly the barista did make my flat white a grande instead of venti but he fixed it in no time and gave me the messed up drink as well i love when they do that instead of throwing it away this place is going to be a local haunt for me for sure i hope it stays this great as it gets older,positive,positive
this location has a drive thru but if you use a reuseable cup for a fancy drink they still use a disposable cup until you get to the window go inside instead if you want to not waste the staff seemed a bit distant and not too customer friendly in fact the barista seemed a bit impatient with me while i was deciding how to make my however you want it frappuccino overall nothing too noteworthy but does the job,negative,negative
this is my favorite starbucks the only thing i don t like is the parking lot is too small it s larger than others so most times i have no problem finding a table there is also a separate room that is away from the baristas it makes it a little easier to study,positive,positive
just the best bunch of people at this location the baristas are always quick to make sure our dogs moose ringo get some extra loving special shout out to jack who was more than willing to help me out with a technical difficulty i was having on the starbucks app in the drive thru awesome environment and great service,positive,positive
like every other starbucks near campus this place gets busy the surrounding are quaint like your artsy friend s living room but they get crowded like a house party in no time there s a back room with a long trestle table and several smaller ones well lit by generous windows prime study work spot the front patio is small but gives a great view of university ave and the baristas here are not as ditzy as the on campus starbs,positive,positive
coming from ny and being around a multitude of coffee shops i know a good one when i see one they are incredibly efficient when a lot of these people order weird crazy drinks and i just get an iced red eye and call it a day the drive thru is actually amazing i never heard of a drive thru starbucks before and this is the only one i know like that it s really quick and everyone is so friendly the only thing that kind of is annoying is the parking lot and the location of it how it s not really easy to get into or out of,positive,positive
this is my favorite starbucks in the westshore area because it is a larger locations and away from the mall crowds there is outdoor seating a drive thru and parking in the back there are plenty of outlets along the long bench seat and also outlets along the walls although starbucks is always busy and a little noisy it is my favorite starbucks to work at because there are a lot of tables,positive,positive
this was the first time going to this starbucks and i have never recieved a poorly drink until today i ordered a chai latte and my husband got a white chocolate mocha as we drove away i opened my cup and saw my drink was barely filled of the cup not to mention most of it was foam i decided to check my husband drink to see that his cup was only half filled and the remaining space was just whipped cream i was seriously disappointed if we weren t already on our way back home to clarksville i would have seriously asked for a refund because messing up a drink that bad twice isn t worth trying to remake,negative,negative
really great bucks we are there usually every saturday morning and they are always cheerful and fast this location has become our favorite in nashville,positive,positive
worst customer service at a starbucks i ve ever experienced the servers were rude to the customers i forgot to ask for a water when ordering and was told to get back in a very long line to get a water employees were talk amongst themselves instead of paying attention to customer server asked what i wanted three times because she was not paying attention i will not be returning,negative,negative
i ordered my coffee and breakfast eggs this morning coffee came and then finally minutes after i was able to get someone s attention about my food being skipped barista was unhelpful asked me to order again i showed him my order then proceeded to fill other peoples orders after mine after minutes left after demanding refund and nothing happening i go here days a week very disappointed,negative,negative
i have just left this location and the service was spectacular i was so pleased with the way the staff had handled my order my coffee was perfect even though they were incredibly busy i cannot say enough good things about the am staff,positive,positive
i love heading into this location for the service and beverages it s always so warm and inviting and something about the atmosphere makes it feel like christmas time if that makes sense,positive,positive
this is the best starbucks experience i ve had the young man that was taking my order was so nice i wanted to try the matcha creme frappuccino but was unsure if i would like it he talked to me about it for a minute or so and i agreed to try it out i m glad i did it was really good after i had started drinking it he got my attention and checked on me to make sure i liked it no one has ever done that at any starbucks before he was a really nice guy with excellent customer skills,positive,positive
they are all very nice here but really the only person who know what s she s doing is allison the rest need more training,positive,positive
maybe the worst starbucks there is around they are slow don t do the drinks in the order they receive them and sometimes the order doesn t even come out and you have to go back to the desk to remind them or ask them what happened all they have as an answer is oh i m sorry what was it again i just don t get it,negative,negative
today i was reminded yet again why i stopped going to this starbucks call me optimistic but i thought i d give it a second chance the parking lot is extremely small and crowded even though they added some extra spots the only parking that was available today was in the minute parking spots some other patrons and i were asked to move our cars from these spots so that others could park there i don t mind moving my car but there were no other places to go and the starbucks employee was somewhat rude about it please do yourself a favor if you re in jenkintown and you really want a cup of starbucks coffee just visit the barnes noble across the street save yourself the time and stress,negative,negative
i visited this starbucks for the first time this evening i walked into the store and waited while two baristas made drinks and another barista took drive through orders each one of the baristas saw me but none of them acknowledged me after waiting a few minutes i turned around and walked out i understand being busy but these guys could at least acknowledge that they have a customer in the store a simple good evening we ll be with you in a minute or two would ve gone a long way with me,negative,negative
my go to starbucks i love this location because of the location itself and the always friendly service i m always greeted whenever i walk in the door whether it is busy or slow inside when the weather is just right the tables outdoors are the perfect spots to study or to hang out i recommend anyone who frequents starbucks to utilize the mobile app rewards i love the mobile order feature place your order ahead of time and just pick it up if you re on the go,positive,positive
this is the worse starbucks i ve ever had i don t understand the amount of traffic because the quality is horrible i have giving them multiple tries from cold frappes to hot coffees i ve also tried them years later and still they re horrible i don t recommend this starbucks at all travel a little further to another location save yourself the expensive disappointment,negative,negative
this is my favorite starbucks sandy is awesome she came up with the birthday gift idea gift card in a starbucks cup looooove it bought it for my employees every year plus she always takes good care of her customer sandy is the best,positive,positive
the service is super slow they need to work on that it took me min to get my chocolate muffin warmed up meh,negative,negative
nice little place but the parking is just a pain friendly people great coffee,negative,positive
store looks nice but can be deafeningly loud no sound insulation at all here at after lunch no rush whatsoever and every free table is filthy had to get napkins and literally scrub a table parking lot is tight love the chain poorly thought out location with untrained inattentive staff bummer,negative,positive
this starbucks is right where i work so i stop by frequently service is consistently friendly and nice obviously it depends on the hour how busy it is thus how wiped off tables could be how prepared ya gotta be upon being the next customer helped etc nothing to complain about have always been served well,positive,positive
y all need to step y all s coffee game up cuz y all coffee wack asf i literally went up times because it wasn t what i wanted and somehow y all still managed to fuck up smh i won t be coming back to this one that s for sure,negative,negative
i can not even begin to explain how much it bothers me coming to this location the closest to me each morning only to be screamed at before i get my coffee by the man at the speaker yelling howddyyyyyy partner in the most ridiculous accent i ve ever heard i know you re trying to make it fun but you do it everyday and i am over it please stop or just chill,negative,negative
maybe it was just an off day or maybe it was because of training new people but this was kind of a confusing starbucks experience i guess i might be spoiled because most starbucks locations really get the concept of the customer experience right a quick stop in for a nice chilly frappuccino on this hot afternoon started out a little bit strange when i was the next customer in line and an employee standing at an empty till caught my eye and smiled brightly i started to walk toward her and give her my order and the employee at the other till who had been helping the customer in front of me broke off to reprimand me for trying to cut in front of that customer i felt quite taken aback at the intensity of his response to what was obviously a misunderstanding i could barely even get out the words i m so sorry i thought she was asking me to come up and order when it was my turn for real and not for pretend it became apparent that she was a brand new employee being trained and thus it was no surprise that it was a slightly confusing process to get my card reloaded my items run in and finally paid for no big deal in itself we have all been learners at something at some point in our lives perhaps this brand new employee also learned that it sends a mixed message to customers waiting in line when you make eye contact and smile at them but you are totally not ready for them to actually come up and order however when i picked up my drink it had not been marked correctly so it wasn t quite right however it was close so i just took it and left i clearly needed to consume some of that caffeine before trying to wrap my brain around any more confusion,negative,negative
man reading some of these reviews i feel badly for the baristas they must have to put up with a lot since the store s right next to rittenhouse square anyway this is a perfectly fine starbucks with perfectly fine service for a starbucks if you re feeling on edge maybe go somewhere else because well this is a starbucks and you re not going to be waited on hand and foot but i found the baristas here to be perfectly pleasant despite a rush so it s a star review from me,positive,positive
they have updated and now accept the app staff takes their time to get to know you drinks are always spot on see you soon,positive,positive
a slightly below average starbucks hence the below average star rating they were out of things and it was early in the day the coffee tasted like mud and the staff was particularly out of it usually at a starbucks there s some millennial zombies working who don t know anything and then one employee who knows everything this location seemed to not have the knows everything employee no one could answer my simple questions about the varieties of coffee and a question about the food that should ve been easy dance i asked if they could make me a pot of the blonde coffee and they said no because it was later in the day i often ask them to do that at other starbucks and they have no problem with that at all i realize they stop making the blonde earlier in the day i was super friendly when i asked and they do it at a lot of other locations so it must be indicative of something else i hate to be negative i really do but the place was also not really kept up as far as cleanliness goes it was definitely a bit messy and no one was attending to it there are definitely better choices for your money,negative,negative
i think i m going to love this location clean and cozy and right next to whole foods yes and yes,positive,positive
recognition and thank you to keena at the carpinteria location new barista i was told i had to get a temporary wells fargo debit card and for my second time this week my temp card didn t work on starbucks system nowhere else having issues i didn t have cash but really wanted my usually coffee and sandwich mentioned i live around the corner and will be back with cash to my delight and surprise keena said with a smile don t worry about it i ll put it on my account since i already have it ready have a wonderful day should she have done this probably not encouraged i understand however she took initiative and had empathy made a judgement call i appreciate it treated me as a person and not a transaction i got home and was wondering how much i ve spent at starbucks last two years since i ve moved to carpinteria so i pulled up wells fargo transactions and answer is dollars over at the carpinteria location alone wish keena well at the company tough job but little acts of kindness go a long way good team at the this location i usually keep to myself staff that makes the extra effort like this keep me coming back thank you scott,positive,positive
this starbucks is rumored to be the highest grossing starbucks in the midwest if the drive thru and in house lines are any indication of the accuracy of that statement then they truly are there s nothing i can say about starbucks here that hasn t been said written about etc but i ve been to many a starbucks and this one is well just a great experience at any time of the day the staff is wonderful and always greets the regulars by name seldom do i even have to tell them what my order is they will usually ask if i m having whatever my usual drink is for that period of time and promptly serve it up for me on the very rare occasion that your drink isn t up to your taste standards they want you to tell them they ll gladly remake any order to satisfy their customers the store is clean and well maintained but the configuration could have been given a bit more consideration for example the drive thru lines up right in front of the entrance it creates a considerable amount of traffic and presents a potential hazard for patrons going in out of the building similarly there are a few parking spots right in front of the door beware if parking in these spots due to the way the drive thru wraps around the building and crosses behind these parking slots if you are parked there and need to get out quickly hope to god the drive thru line isn t too long or you re going to be stuck in your parking spot until the line passes by the good thing is the baristas in this starbucks are fast and accurate they generally keep the drive thru line moving at a pretty goods pace that certainly is appreciated when you are short on time they have an outdoor seating area but again it bumps right up against the drive thru line so consequently your conversation is constantly interrupted by customers placing orders or loud cars and stereos enjoying a nice latte right next to a running car isn t the most pleasant experience the indoor seating area is less than adequate sure there are tables and chairs but on a saturday sunday morning they fill up quick leaving you no other option but to sit outside or take your order to go but as i stated aside from these physical shortcomings the exceptional staff more than makes up for it and the product quality speaks for itself,positive,positive
over the last several years i have frequented this location because i have family and friends in the area i am boring i just get a vanilla bean frappuccino or a hot chocolate with whipped cream i too am challenges with the beverage size names and experienced one of the baristas melissa who has waited on my many times before said we also speak english you can use small medium large i thought this was funny because as a non coffee drinker i am not ordering and using the purpose behind the names and descriptions of the beverages because to me a grande should be larger than a venti so i stick to small medium and large ha ha i have been in the store and in the drive thru and have always had a very good experience and they have always been helpful melissa works hard i have seen her be at the front and at the drive thru at the same time and she remembers me when i come in to order and i am not there on a daily basis it is more every few months so kudos,positive,positive
professionalism and customer service is dead this place is exhibit a of this fact i have come here multiple times and each time the attitudes and service are pure shit the girls and i use girls as opposed to women for a reason and age is not that reason who work here have attitudes similar to mine when i m going to the bmv they are unhappy people and incapable of even pretending to know how to properly serve someone on my most recent visit and my last i arrived at open and requested a cold brew coffee the girl said they didn t make cold brew that day i asked why she said no one buys it which is a lie as i alone had gotten it times prior to this occasion i said i buy it then she said this to me who are you lol well i am now the guy who s going to bash you on yelp for being horrible at an entry level customer service job go elsewhere for coffee quills is a great place and not far from the marriott if you have time to make it there,negative,negative
this starbucks was quite clean and pretty there s a gorgeous landscape painting by the restroom and plenty of starbucks objects to buy on the shelves not a lot of sandwiches or wraps to buy though there s other starbucks with bigger displays featuring more foods on their menu and display cases the waitresses attitudes were a bit rushed and they could have heated my family s coffee a bit more my chai tea was hotter than their coffee the chai tea was delicious though i loved how i could add chocolate cinnamon nutmeg and vanilla to my drink myself the little bar had those powdered ingredients ready to add the people in there seemed a bit older than the average clientele at starbuckses overall it was pretty good,positive,positive
when has starbucks ever done me wrong well today this isn t my starbucks i frequent others but was on the west side of town dropping my daughter for a night with her grandma and she requested a vanilla bean frapp we drove thru and i must admit the server speaker was very helpful upbeat and funny and thank the sweet lord they had the horizon chocolate milk for the little one or we might have had an issue so we get our chocolate milk box in a timely fashion but sat waiting for the vanilla frapp for an eternity when passed to us i hand it to said daughter and like any smart person she eats the whipped cream off the top first as we re pulling out of the lot as we re driving she says ewww this tastes awful she said it tasted like drinking just iced milk so my issue is just with this locale long wait and a drink an eight year old turned her nose up at,negative,negative
what s joe pesci s line from lethal weapon you get ed at the drive thru needed a lift to make it home on my daily commute between st pete and orlando so i stopped at the exit starbucks and ordered a chai tea latte two exits west on i i went for my first sip and it was coffee i hate coffee joe pesci was right i wasn t turning around so they got me,negative,positive
just so bad i have numerous stories of nonsense with this store but today s shall be the feature i order a dark roast drip coffee literally all that needs to happen is a cup needs to be placed under the spout and then upon fillage a lid must be applied i waited for about minutes for a mobile order no one checked in i had to ask twice before the barista realized she was not in fact brewing any dark roast the explanation was that they dump regular coffee after am welcome to crazy town in summation be prepared to wait bc this excursion took mins beginning to end,negative,negative
i love my starbucks baristas were friendly the atmosphere was good i spilled my drink and they were happy to remake it,positive,positive
every time i visit this location the staff is really exceptional they are patient accurate and friendly this is a great place to enjoy a cup of coffee or study as it s larger than most other locations my only con is that bc it s on such a busy street the entrances and exits can be a nightmare depending on which direction you need to go,positive,positive
i suppose that this is okay if you need a quick cup of joe before you fly out it serves a purpose and the you get served quickly,negative,positive
great friendly staff and always good drinks and snacks my wife and i had a mocha this morning and i had an egg and sausage sandwich and my wife a chocolate croissant always great highly recommend,positive,positive
although there are several starbucks locations around the country that are open hours now this location will always be the original hour starbucks to me located conveniently right off of the i at the thonotosassa exit this place is a must stop if you are making that typical trek from orlando to tampa or vice versa why you ask well because there is delicious coffee and tea clean restrooms and delectable pastries really what more could you ask for there is even a drive thru for added convenience the size of the starbucks is ideal room for casual seating and lounging but not so huge that it s overcrowded and crazy i think the drive thru option helps prevent that also the location right off of the i note the giant starbucks sign over the highway makes it easy to pull in and out of i ve never experienced any problems here and also i associate it with roadtripping across florida so stars,positive,positive
great location in the commons buildings on penn s campus staff is quick and efficient keep in mind you can use your starbucks card to make a purchase however you cannot use your freebies or any coupons at this location,positive,positive
horrible customer service there was an error in my drink and i let matt aware of it he remade my drink sat it down on the counter and didn t say anything waited for over min and then he says here is your drink i was standing right in front of the counter so there is no way he didn t see me a lady walked up while i was standing there and asked what everything on the counter was mobile orders thrown on the counter without any labels they seem to cater to the drive thru instead of customers standing in the lobby rude,negative,negative
i wish they had a thumbs down or a honestly the worst starbucks i ve been my whole life is ok if they are in the process of hiring or new but not ok not been polite people here are not helping the company grow i don t know how they still open i hope they change this because i love starbucks and i work so close that all i want in the morning is a latte to start my day just thinking it will take minutes to get it makes me regret it and passed on coffee,negative,negative
earns a star for its size and cleanliness earns a star for staff being friendly remove a star for closing at pm weekdays remove a star for not taking starbucks rewards remove a star for being closed on weekends despite being center of the city ever since the riots looting of and pandemic closures bpg who own operate this location have seemed to make it so that everyone who visits or lives in downtown will go to shitty dunkin donuts but joke is on them because the former loma cafe reopened to now be milk honey coffee and food and art and oh yeah is open in weekends but still milk honey is on th which means those in the teens have a long walk especially since the other starbucks downtown is also closed on weekend as is i m coffee wilmington the dying city also never visit pine street unless you want to be shot,negative,negative
the bathrooms were absolutely disgusting one had no toilet paper whatsoever and the other one had an explosion of trash on the floor when i informed the worker at the counter all i received was a heavy eye roll and an okay,negative,negative
i have been to many starbucks locations across the country and this is easily my favorite very friendly staff comfortable seating nice environment,positive,positive
now downtown reno only has one starbucks and off south virgina street and when you exit you can only go one way what a pain in the but that being said i like hot coffee and they are best of all the starbucks when it comes to hot coffee doesn t matter what time of day the coffee is always hot and the people are on top of their jobs,positive,positive
i understand the need to train staff but come on there were two staff here at in the evening with people infront of me that took over minutes orders took forever because beverages could not be made due to training on the register i ordered a midnight mocha frap and asked for no whipped cream yet got it with whipped cream simply from the unpleasant wait i left unhappy and didn t even have it remade as i walked outside i sipped my frap to find out it did not even have any mint in it in addition there was no place to sit inside due to customers who had long been done there beverages hogging up seat tables to surf the internet i d expect much better at starbucks,negative,negative
a comfortable clean intimate space always have experienced friendly staff and positive service i ve come here many times to study or meet up with friends to chat or when giftcards were wanted to be used since the starbucks in barnes and noble at the mall does not take them chipotle subway and baskin robbins are in the same strip so catering different tastes is quite easy outdoor seating is set off to the side of the building and is more spacious then most starbucks outdoor seating areas,positive,positive
this is a great store i live a little far from here but work in the area and this is my favorite stop on my way in to work always brightens up my day and the employees are always pleasant and kind,positive,positive
starbucks has the worst coffee ever seriously why would anyone want to waste their time and money on a place like starbucks their coffee tastes nothing like coffee don t bother going there for a cup bob evans has better coffee than this place,negative,negative
i continue to frequent this starbucks even though they continue to drive me crazy they are always out of dark roast coffee i mean it s am how do you not have another pot brewing the line is always or people deep with only one register open the staff is very friendly but i feel like the efficiency is lacking i now went at pm they close at pm again no dark roast coffee with a hour till close the place was out of cream no sugar and the floors were being mopped i just don t get how this happens when you still have hr till close,negative,negative
vergina vergina your coffee s ready vergina is what i wish the barista had said instead she looked at the sad ass attempt at my name on the cup and said uh the iced coffee is up if it were me i d ve yelled it i d ve yelled it out with a pointed tone of you ve gotta be kidding me while staring judging ly at my dingus coworker who can t spell the name of a state plus about street signs in reno a city a lake making her cringe as a former barista i get that after a long morning full of tripleshot halfcaff twopumpsvanilla extrahot readmymindandgetitright bull hockey that turns what should be a sec cup of coffee into a goddamn act of congress you re a little exhausted i also get that you probably didn t have to take a spelling test to get your job i also get that there are some names out there that are impossible to spell correctly phonetically like lynnea or mirahndah or westynne but there is just no letting this one go because the cheat sheet is practically right out the window i mean there are more virginia signs in this town than in friggin richmond but that s okay because you know what i do like your coffee and when i m in a hurry and can t make it to one of my favorite local spots because bibo and hub are my first two loves i m fine to swing on in this location is convenient and the baristas are very sweet i just read that starbucks might soon be contributing to its employee s college tuitions i d say that s a good call starbucks good call,positive,negative
this has got to be the slowest starbucks i have ever been to there was a group of three girls in front of me who ordered iced teas already made in the blender and it s took them minutes to get there order it took me minutes to get my tall caramell machiatto ridiculous i won t be returning to this place again,negative,negative
the staff at this location are amazing i ve seen different people and they ve both been so sweet and quick the drinks never disappoint not to mention i get to shop while drinking my starbucks love it,positive,positive
besides being closest to where i live as well as almost exactly between my house and where i get on the interstate to go to work this location cemented me as a customer for life a few years ago as i arrived at work during a particularly rough morning i upended my pumpkin spice latte bought from another location all over myself i headed home to change and went into the hickory hollow location on my way back to work lamenting bad mornings and wasted delicious coffee the barista handed me my grande with a smile and gave it to me for free i ve never had a drink made incorrectly or had a bad service experience at this starbucks i see the store manager malachi almost every time i m in working just as hard as his team five stars,positive,positive
they had reserves from cameroon from ethiopia didn t see reserves at any other starbucks in area also spacious and friendly employees thanks joseph,positive,positive
old favorite spot to get coffee debey has been rude to me on occasions making me never want to go back once she ignored me as i waited for her to never look back at me after handing me a half full cup of coffee in the size i ordered another time i asked for a drink to be split never was a problem in the last years for this but she acted suddenly angry i asked and gave me a small hot cup and no lid for an iced drink i waited for a lid but she ignored me then also i am tired of feeling this rude person s passive aggression i wonder how many other have fallen victim to this she should not work with the public,negative,negative
hooray for free bathrooms and free ac boo for no toilet paper someone got left in a shitty situation here for sure unlike other sbux their restrooms are not gender neutral on the plus side there is a changing table in the men s room if you have a little one didn t order drinks so i cannot speak to that overall on a saturday night this place was much calmer and had no bathroom line while the sbux further down chestnut in midtown village was a zoo and had a toilet line,negative,negative
the one thing i love about starbucks is that i can know what to expect from their coffee it was good as usual i tried their new drink carmel roasted something and it was really took sweet for me i should have stuck with a cup of regular joe,positive,positive
i tell everyone that this is the best starbucks in tampa and i will stick to that they always make my order correctly and are always so nice,positive,positive
love this place it s clean and the employees are friendly enough and it s the best place to go in summer winter fall or spring it s quiet so it s great to listen to music read a book or do your homework in the summer i usually get a chocolate frappuccino in the spring i usually get the pink drink in fall i get the dragon fruit one and in the winter a hot chocolate and i like trying the unicorn one whenever it s around this place is great and they always put fruit in the fruity ones and whip cream and chocolate sauce on the hot chocolate and a frappuccino and i am always willing to try something new at starbucks plus they have almond milk i prefer almond milk in my drinks or coconut but i would recommend putting more whip cream on because it s upsetting when they don t put it on all of it and the whip cream melts because they didn t put enough on but otherwise it s one of my favorite coffee shops yum,positive,positive
we have lived in different states in the last years and this is our nd time in o fallon this drive thru by far is the slowest out of all the starbucks we ve been to hoping it would have improved since but it hasn t,negative,negative
i visit here very often since it s the nearest starbucks to my place parking is usually easy after am and it s free the best part of this starbucks is they have great customer service some staff members are super friendly like joseph and curtis it s always a pleasure and heart warming to have their service however every once for a while they will have few new faces who serve people with cold faces and rarely respond or reaffirm to customer s saying that really make big differences comparing with my regular experience there i wish those staff can pick up the basic etiquette to work with customers more since i wish to feel like coming home in my neighborhood the ratio of chance for me having cold interaction is out of so i give them stars,positive,positive
every time i come to the play area with my son and my wife i go and buy some coffee while my son is playing but this time i didn t want coffee so i ve asked the girl behind the counter if i can get change for to use for the toy cars and she refused i will never buy a coffee again from any starbucks location,negative,negative
